"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498663620.0000658,"28/06/2017 23:27:00",41250000.0,3,15.00044584274292,0,0,0.0,0.0005502700805664062,14.999895572662354,0,"[0, 0, 0]","[0, 0, 1]","[]"
2,1498663635.0005116,"28/06/2017 23:27:15",41250000.0,1,4.340917110443115,952784,1340817.4066033724,0.7151178365877852,0.008319854736328125,14.999680757522583,0,"[1340817.4066033724, 0, 0]","[1, 0, 1]","[]"
3,1498663650.0085123,"28/06/2017 23:27:30",41250000.0,2,4.4518022537231445,4788536,6809615.55157396,3.6319305061381555,0.007839202880859375,14.99944019317627,0,"[1340817.4066033724, 6809615.55157396, 0]","[1, 1, 1]","[]"
4,1498663665.0157917,"28/06/2017 23:27:45",41250000.0,2,0,12405080,12405080.0,6.6123660330135525,0,15.00834035873413,0,"[1340817.4066033724, 19214695.551573962, 0]","[1, 2, 1]","['averageBytePerNet:[1340817.4066033724, 6809615.55157396, 0.0], numNetworkHighestAverageByte: 1']"
5,1498663680.024132,"28/06/2017 23:28:00",41250000.0,2,0,12565680,12565680.0,6.698236719548995,0,15.007746696472168,0,"[1340817.4066033724, 31780375.551573962, 0]","[1, 3, 1]","['averageBytePerNet:[1340817.4066033724, 9607347.775786981, 0.0], numNetworkHighestAverageByte: 1']"
6,1498663695.0318787,"28/06/2017 23:28:15",41250000.0,2,0,10991072,10991072.0,5.858961270751545,0,15.00753664970398,0,"[1340817.4066033724, 42771447.55157396, 0]","[1, 4, 1]","['averageBytePerNet:[1340817.4066033724, 10593458.51719132, 0.0], numNetworkHighestAverageByte: 1']"
7,1498663710.0394154,"28/06/2017 23:28:30",41250000.0,2,0,12354336,12354336.0,6.58520567229993,0,15.00859546661377,0,"[1340817.4066033724, 55125783.55157396, 0]","[1, 5, 1]","['averageBytePerNet:[1340817.4066033724, 10692861.88789349, 0.0], numNetworkHighestAverageByte: 1']"
8,1498663725.0480108,"28/06/2017 23:28:45",41250000.0,2,0,8559128,8559128.0,4.562772705363822,0,15.00688910484314,0,"[1340817.4066033724, 63684911.55157396, 0]","[1, 6, 1]","['averageBytePerNet:[1340817.4066033724, 11025156.710314792, 0.0], numNetworkHighestAverageByte: 1']"
9,1498663740.0549,"28/06/2017 23:29:00",41250000.0,2,0,10568952,10568952.0,5.633438099093307,0,15.008883476257324,0,"[1340817.4066033724, 74253863.55157396, 0]","[1, 7, 1]","['averageBytePerNet:[1340817.4066033724, 10614151.925262326, 0.0], numNetworkHighestAverageByte: 1']"
10,1498663755.0637834,"28/06/2017 23:29:15",41250000.0,2,0,8841520,8841520.0,4.712833438879883,0,15.00841498374939,0,"[1340817.4066033724, 83095383.55157396, 0]","[1, 8, 1]","['averageBytePerNet:[1340817.4066033724, 10607694.793081995, 0.0], numNetworkHighestAverageByte: 1']"
11,1498663770.0721984,"28/06/2017 23:29:30",41250000.0,2,0,9065992,9065992.0,4.832911501250948,0,15.007089614868164,0,"[1340817.4066033724, 92161375.55157396, 0]","[1, 9, 1]","['averageBytePerNet:[1340817.4066033724, 10386922.943946745, 0.0], numNetworkHighestAverageByte: 1']"
12,1498663785.079288,"28/06/2017 23:29:45",41250000.0,2,0,9026736,9026736.0,4.811968193033502,0,15.007141590118408,0,"[1340817.4066033724, 101188111.55157396, 0]","[1, 10, 1]","['averageBytePerNet:[1340817.4066033724, 10240152.839063773, 0.0], numNetworkHighestAverageByte: 1']"
13,1498663800.0864296,"28/06/2017 23:30:00",41250000.0,2,0,9155704,9155704.0,4.877605675654952,0,15.016718626022339,0,"[1340817.4066033724, 110343815.55157396, 0]","[1, 11, 1]","['averageBytePerNet:[1340817.4066033724, 10118811.155157397, 0.0], numNetworkHighestAverageByte: 1']"
14,1498663815.1031482,"28/06/2017 23:30:15",41250000.0,2,0,9338152,9338152.0,4.978400988078996,0,15.005865573883057,0,"[1340817.4066033724, 119681967.55157396, 0]","[1, 12, 1]","['averageBytePerNet:[1340817.4066033724, 10031255.959233997, 0.0], numNetworkHighestAverageByte: 1']"
15,1498663830.1090138,"28/06/2017 23:30:30",41250000.0,2,0,8908096,8908096.0,4.749205088137457,0,15.005620241165161,0,"[1340817.4066033724, 128590063.55157396, 0]","[1, 13, 1]","['averageBytePerNet:[1340817.4066033724, 9973497.295964496, 0.0], numNetworkHighestAverageByte: 1']"
16,1498663845.114634,"28/06/2017 23:30:45",41250000.0,2,0,6478352,6478352.0,3.453571545894408,0,15.006730079650879,0,"[1340817.4066033724, 135068415.55157396, 0]","[1, 14, 1]","['averageBytePerNet:[1340817.4066033724, 9891543.350121073, 0.0], numNetworkHighestAverageByte: 1']"
17,1498663860.121364,"28/06/2017 23:31:00",41250000.0,2,0,5584936,5584936.0,2.9773383770585786,0,15.00652003288269,0,"[1340817.4066033724, 140653351.55157396, 0]","[1, 15, 1]","['averageBytePerNet:[1340817.4066033724, 9647743.967969568, 0.0], numNetworkHighestAverageByte: 1']"
18,1498663875.1278841,"28/06/2017 23:31:15",41250000.0,2,0,6969224,6969224.0,3.715310560298803,0,15.006495714187622,0,"[1340817.4066033724, 147622575.55157396, 0]","[1, 16, 1]","['averageBytePerNet:[1340817.4066033724, 9376890.103438264, 0.0], numNetworkHighestAverageByte: 1']"
19,1498663890.1343799,"28/06/2017 23:31:30",41250000.0,2,0,5823856,5823856.0,3.105404796041887,0,15.003148078918457,0,"[1340817.4066033724, 153446431.55157396, 0]","[1, 17, 1]","['averageBytePerNet:[1340817.4066033724, 9226410.971973373, 0.0], numNetworkHighestAverageByte: 1']"
20,1498663905.137528,"28/06/2017 23:31:45",41250000.0,2,0,5661680,5661680.0,3.018139624149787,0,15.007072448730469,0,"[1340817.4066033724, 159108111.55157396, 0]","[1, 18, 1]","['averageBytePerNet:[1340817.4066033724, 9026260.67950435, 0.0], numNetworkHighestAverageByte: 1']"
21,1498663920.1446004,"28/06/2017 23:32:00",41250000.0,2,0,6075808,6075808.0,3.238991022763893,0,15.006668329238892,0,"[1340817.4066033724, 165183919.55157396, 0]","[1, 19, 1]","['averageBytePerNet:[1340817.4066033724, 8839339.530642997, 0.0], numNetworkHighestAverageByte: 1']"
22,1498663935.1512687,"28/06/2017 23:32:15",41250000.0,2,0,6266944,6266944.0,3.341561439535294,0,15.0036301612854,0,"[1340817.4066033724, 171450863.55157396, 0]","[1, 20, 1]","['averageBytePerNet:[1340817.4066033724, 8693890.50271442, 0.0], numNetworkHighestAverageByte: 1']"
23,1498663950.154899,"28/06/2017 23:32:30",41250000.0,2,0,6091736,6091736.0,3.2471969409120134,0,15.007986545562744,0,"[1340817.4066033724, 177542599.55157396, 0]","[1, 21, 1]","['averageBytePerNet:[1340817.4066033724, 8572543.177578699, 0.0], numNetworkHighestAverageByte: 1']"
24,1498663965.1628854,"28/06/2017 23:32:45",41250000.0,2,0,6514552,6514552.0,3.4726534469828723,0,15.00766396522522,0,"[1340817.4066033724, 184057151.55157396, 0]","[1, 22, 1]","['averageBytePerNet:[1340817.4066033724, 8454409.502455903, 0.0], numNetworkHighestAverageByte: 1']"
25,1498663980.1705494,"28/06/2017 23:33:00",41250000.0,2,0,6332104,6332104.0,3.37583397926629,0,15.005723714828491,0,"[1340817.4066033724, 190389255.55157396, 0]","[1, 23, 1]","['averageBytePerNet:[1340817.4066033724, 8366234.16143518, 0.0], numNetworkHighestAverageByte: 1']"
26,1498663995.176273,"28/06/2017 23:33:15",41250000.0,2,0,5033248,5033248.0,2.683129070662307,0,15.007099151611328,0,"[1340817.4066033724, 195422503.55157396, 0]","[1, 24, 1]","['averageBytePerNet:[1340817.4066033724, 8277793.719633651, 0.0], numNetworkHighestAverageByte: 1']"
27,1498664010.1833723,"28/06/2017 23:33:30",41250000.0,2,0,4275944,4275944.0,2.279583220945397,0,15.006055355072021,0,"[1340817.4066033724, 199698447.55157396, 0]","[1, 25, 1]","['averageBytePerNet:[1340817.4066033724, 8142604.314648915, 0.0], numNetworkHighestAverageByte: 1']"
28,1498664025.1894276,"28/06/2017 23:33:45",41250000.0,2,0,5850400,5850400.0,3.118649214354996,0,15.00752305984497,0,"[1340817.4066033724, 205548847.55157396, 0]","[1, 26, 1]","['averageBytePerNet:[1340817.4066033724, 7987937.902062958, 0.0], numNetworkHighestAverageByte: 1']"
29,1498664040.1969507,"28/06/2017 23:34:00",41250000.0,2,0,6211440,6211440.0,3.311182210777395,0,15.00718379020691,0,"[1340817.4066033724, 211760287.55157396, 0]","[1, 27, 1]","['averageBytePerNet:[1340817.4066033724, 7905724.905829768, 0.0], numNetworkHighestAverageByte: 1']"
30,1498664055.2041345,"28/06/2017 23:34:15",41250000.0,2,0,5732632,5732632.0,3.0559865500361147,0,15.006956100463867,0,"[1340817.4066033724, 217492919.55157396, 0]","[1, 28, 1]","['averageBytePerNet:[1340817.4066033724, 7842973.613021258, 0.0], numNetworkHighestAverageByte: 1']"
31,1498664070.2110906,"28/06/2017 23:34:30",41250000.0,2,0,6072912,6072912.0,3.237644800978832,0,15.005752325057983,0,"[1340817.4066033724, 223565831.55157396, 0]","[1, 29, 1]","['averageBytePerNet:[1340817.4066033724, 7767604.26969907, 0.0], numNetworkHighestAverageByte: 1']"
32,1498664085.216843,"28/06/2017 23:34:45",41250000.0,2,0,5249032,5249032.0,2.7983179632188167,0,15.006248950958252,0,"[1340817.4066033724, 228814863.55157396, 0]","[1, 30, 1]","['averageBytePerNet:[1340817.4066033724, 7709166.605226688, 0.0], numNetworkHighestAverageByte: 1']"
33,1498664100.2230918,"28/06/2017 23:35:00",41250000.0,2,0,6165552,6165552.0,3.2870133361730742,0,15.00584602355957,0,"[1340817.4066033724, 234980415.55157396, 0]","[1, 31, 1]","['averageBytePerNet:[1340817.4066033724, 7627162.118385798, 0.0], numNetworkHighestAverageByte: 1']"
34,1498664115.2289379,"28/06/2017 23:35:15",41250000.0,2,0,5618240,5618240.0,2.9950295539250633,0,15.006836891174316,0,"[1340817.4066033724, 240598655.55157396, 0]","[1, 32, 1]","['averageBytePerNet:[1340817.4066033724, 7580013.404889483, 0.0], numNetworkHighestAverageByte: 1']"
35,1498664130.2357748,"28/06/2017 23:35:30",41250000.0,2,0,6194544,6194544.0,3.3022948360592403,0,15.006640672683716,0,"[1340817.4066033724, 246793199.55157396, 0]","[1, 33, 1]","['averageBytePerNet:[1340817.4066033724, 7518707.985986686, 0.0], numNetworkHighestAverageByte: 1']"
36,1498664145.2424154,"28/06/2017 23:35:45",41250000.0,2,0,5902272,5902272.0,3.14649361305002,0,15.006601572036743,0,"[1340817.4066033724, 252695471.55157396, 0]","[1, 34, 1]","['averageBytePerNet:[1340817.4066033724, 7478581.8045931505, 0.0], numNetworkHighestAverageByte: 1']"
37,1498664160.249017,"28/06/2017 23:36:00",41250000.0,2,0,5936576,5936576.0,3.1647236620848034,0,15.006873607635498,0,"[1340817.4066033724, 258632047.55157396, 0]","[1, 35, 1]","['averageBytePerNet:[1340817.4066033724, 7432219.751516881, 0.0], numNetworkHighestAverageByte: 1']"
38,1498664175.2558906,"28/06/2017 23:36:15",41250000.0,2,0,6626048,6626048.0,3.53253005874921,0,15.005784273147583,0,"[1340817.4066033724, 265258095.55157396, 0]","[1, 36, 1]","['averageBytePerNet:[1340817.4066033724, 7389487.072902113, 0.0], numNetworkHighestAverageByte: 1']"
39,1498664190.261675,"28/06/2017 23:36:30",41250000.0,2,0,6915648,6915648.0,3.6866696961502408,0,15.006818771362305,0,"[1340817.4066033724, 272173743.551574, 0]","[1, 37, 1]","['averageBytePerNet:[1340817.4066033724, 7368280.431988166, 0.0], numNetworkHighestAverageByte: 1']"
40,1498664205.2684937,"28/06/2017 23:36:45",41250000.0,2,0,6407400,6407400.0,3.4159300697243444,0,15.005927801132202,0,"[1340817.4066033724, 278581143.551574, 0]","[1, 38, 1]","['averageBytePerNet:[1340817.4066033724, 7356047.123015514, 0.0], numNetworkHighestAverageByte: 1']"
41,1498664220.2744215,"28/06/2017 23:37:00",41250000.0,2,0,5761592,5761592.0,3.0713471886235237,0,15.00733494758606,0,"[1340817.4066033724, 284342735.551574, 0]","[1, 39, 1]","['averageBytePerNet:[1340817.4066033724, 7331082.725041421, 0.0], numNetworkHighestAverageByte: 1']"
42,1498664235.2817564,"28/06/2017 23:37:15",41250000.0,2,0,5997616,5997616.0,3.196977564195076,0,15.008215427398682,0,"[1340817.4066033724, 290340351.551574, 0]","[1, 40, 1]","['averageBytePerNet:[1340817.4066033724, 7290839.373117282, 0.0], numNetworkHighestAverageByte: 1']"
43,1498664250.2899718,"28/06/2017 23:37:30",41250000.0,2,0,5860056,5860056.0,3.123947569894382,0,15.006797313690186,0,"[1340817.4066033724, 296200407.551574, 0]","[1, 41, 1]","['averageBytePerNet:[1340817.4066033724, 7258508.78878935, 0.0], numNetworkHighestAverageByte: 1']"
44,1498664265.2967691,"28/06/2017 23:37:45",41250000.0,2,0,5838656,5838656.0,3.1127459234252193,0,15.005801677703857,0,"[1340817.4066033724, 302039063.551574, 0]","[1, 42, 1]","['averageBytePerNet:[1340817.4066033724, 7224400.184184732, 0.0], numNetworkHighestAverageByte: 1']"
45,1498664280.3025708,"28/06/2017 23:38:00",41250000.0,2,0,6512784,6512784.0,3.4719701241602925,0,15.0065438747406,0,"[1340817.4066033724, 308551847.551574, 0]","[1, 43, 1]","['averageBytePerNet:[1340817.4066033724, 7191406.275037476, 0.0], numNetworkHighestAverageByte: 1']"
46,1498664295.3091147,"28/06/2017 23:38:15",41250000.0,2,0,6100424,6100424.0,3.252099307027548,0,15.006734848022461,0,"[1340817.4066033724, 314652271.551574, 0]","[1, 44, 1]","['averageBytePerNet:[1340817.4066033724, 7175624.361664511, 0.0], numNetworkHighestAverageByte: 1']"
47,1498664310.3158495,"28/06/2017 23:38:30",41250000.0,2,0,5605208,5605208.0,2.9882859919811176,0,15.00581407546997,0,"[1340817.4066033724, 320257479.551574, 0]","[1, 45, 1]","['averageBytePerNet:[1340817.4066033724, 7151187.9898085, 0.0], numNetworkHighestAverageByte: 1']"
48,1498664325.3216636,"28/06/2017 23:38:45",41250000.0,2,0,6578264,6578264.0,3.5070601530416643,0,15.005762577056885,0,"[1340817.4066033724, 326835743.551574, 0]","[1, 46, 1]","['averageBytePerNet:[1340817.4066033724, 7116832.878923867, 0.0], numNetworkHighestAverageByte: 1']"
49,1498664340.3274262,"28/06/2017 23:39:00",41250000.0,2,0,5638512,5638512.0,3.005987369591971,0,15.006083011627197,0,"[1340817.4066033724, 332474255.551574, 0]","[1, 47, 1]","['averageBytePerNet:[1340817.4066033724, 7105124.859816826, 0.0], numNetworkHighestAverageByte: 1']"
50,1498664355.3335092,"28/06/2017 23:39:15",41250000.0,2,0,6088840,6088840.0,3.2459726286288566,0,15.006509780883789,0,"[1340817.4066033724, 338563095.551574, 0]","[1, 48, 1]","['averageBytePerNet:[1340817.4066033724, 7073920.330884553, 0.0], numNetworkHighestAverageByte: 1']"
51,1498664370.340019,"28/06/2017 23:39:30",41250000.0,2,0,6023680,6023680.0,3.2114153521607647,0,15.005670309066772,0,"[1340817.4066033724, 344586775.551574, 0]","[1, 49, 1]","['averageBytePerNet:[1340817.4066033724, 7053397.8239911245, 0.0], numNetworkHighestAverageByte: 1']"
