"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498546800.000146,"27/06/2017 15:00:00",41250000.0,1,4.407513380050659,2299424,3256239.8114622952,1.7366995472649893,0.0012614727020263672,14.999669075012207,0,"[3256239.8114622952, 0, 0]","[1, 0, 0]","[]"
2,1498546815.0010765,"27/06/2017 15:00:15",41250000.0,3,4.390285015106201,10782201,15244282.322207265,8.13082760113118,0.011692285537719727,14.99899697303772,0,"[3256239.8114622952, 0, 15244282.322207265]","[1, 0, 1]","[]"
3,1498546830.0117657,"27/06/2017 15:00:30",41250000.0,2,4.179105043411255,1665952,2309413.3926162235,1.2317687848132937,0.013080835342407227,14.999005794525146,2960,"[3256239.8114622952, 2309413.3926162235, 15244282.322207265]","[1, 1, 1]","[]"
4,1498546845.0238523,"27/06/2017 15:00:45",41250000.0,3,4.878084659576416,3940040,5838948.01700271,3.114186242380796,0.011799335479736328,14.999611616134644,2896,"[3256239.8114622952, 2309413.3926162235, 21083230.339209974]","[1, 1, 2]","['averageBytePerNet:[3256239.8114622952, 2309413.3926162235, 15244282.322207265], numNetworkHighestAverageByte: 1']"
5,1498546860.0352633,"27/06/2017 15:01:00",41250000.0,3,0,7297952,7297952.0,3.8885788607376033,0,15.014126777648926,0,"[3256239.8114622952, 2309413.3926162235, 28381182.339209974]","[1, 1, 3]","['averageBytePerNet:[3256239.8114622952, 2309413.3926162235, 10541615.169604987], numNetworkHighestAverageByte: 1']"
6,1498546875.04939,"27/06/2017 15:01:15",41250000.0,3,0,6249504,6249504.0,3.3302729180093076,0,15.012593030929565,0,"[3256239.8114622952, 2309413.3926162235, 34630686.339209974]","[1, 1, 4]","['averageBytePerNet:[3256239.8114622952, 2309413.3926162235, 9460394.11306999], numNetworkHighestAverageByte: 1']"
7,1498546890.061983,"27/06/2017 15:01:30",41250000.0,3,0,4772608,4772608.0,2.5419212663343274,0,15.020474672317505,0,"[3256239.8114622952, 2309413.3926162235, 39403294.339209974]","[1, 1, 5]","['averageBytePerNet:[3256239.8114622952, 2309413.3926162235, 8657671.584802493], numNetworkHighestAverageByte: 1']"
8,1498546905.0824578,"27/06/2017 15:01:45",41250000.0,3,0,3453480,3453480.0,1.8405642463217364,0,15.01052737236023,0,"[3256239.8114622952, 2309413.3926162235, 42856774.339209974]","[1, 1, 6]","['averageBytePerNet:[3256239.8114622952, 2309413.3926162235, 7880658.867841994], numNetworkHighestAverageByte: 1']"
9,1498546920.0929852,"27/06/2017 15:02:00",41250000.0,3,0,4888448,4888448.0,2.6056914664720496,0,15.008524417877197,0,"[3256239.8114622952, 2309413.3926162235, 47745222.339209974]","[1, 1, 7]","['averageBytePerNet:[3256239.8114622952, 2309413.3926162235, 7142795.723201662], numNetworkHighestAverageByte: 1']"
10,1498546935.1015096,"27/06/2017 15:02:15",41250000.0,3,0,3832856,3832856.0,2.042797936011523,0,15.010220766067505,0,"[3256239.8114622952, 2309413.3926162235, 51578078.339209974]","[1, 1, 8]","['averageBytePerNet:[3256239.8114622952, 2309413.3926162235, 6820746.048458568], numNetworkHighestAverageByte: 1']"
