Time slot,smartEXP3,greedy
3,29.3547973868,32.0291906234
4,29.9026094619,27.5113641586
5,27.5337676442,24.2929837491
6,25.4883135309,20.9563305022
7,25.6919477359,19.5955115309
8,26.0132361575,17.8161055511
9,25.09758295,17.1898757377
10,25.3574453004,16.1972333859
11,25.5833114511,14.9595878536
12,25.1513813945,13.9275340222
13,24.3993544961,13.2923090791
14,23.3160292411,12.8954344073
15,22.9681318956,12.8580690286
16,22.0900233903,13.1403119182
17,21.8453633332,12.4985539665
18,22.7981950512,12.5152320535
19,22.9342148121,12.1889995505
20,22.8037163509,11.9608840052
21,22.4702374092,12.0883373181
22,21.8925099867,12.1632194713
23,21.296012415,11.5887561571
24,21.7457845048,11.0957432759
25,22.4632911506,10.648779742
26,22.7399592879,10.5096551446
27,23.0688360891,10.6497879966
28,23.5260675719,10.957194729
29,23.2056622434,11.3633874718
30,22.7178620144,12.3260118623
31,22.5854900581,12.8454808828
32,22.6481161972,13.1873526753
33,22.3345471591,13.067906256
34,22.9808170491,12.9438790527
35,23.3994069153,12.0579200662
36,23.1504056087,12.0583838135
37,23.3356894331,11.6444891879
38,23.7388358719,11.3755396794
39,23.1907889248,11.6809038885
40,22.5335063807,12.000981981
41,22.3725913867,11.5777120925
42,21.6685475032,12.3453255022
43,20.6271038097,13.3615337308
44,20.2436950019,14.1969691018
45,19.6626504944,15.416241086
46,19.7578766923,15.9010229221
47,19.9050476192,15.7353695423
48,19.8216494144,15.6253862324
49,19.7636901408,14.9275696732
50,19.6927031846,14.2204093544
51,19.4621029403,13.7002883907
52,19.3875307666,13.8953789749
53,19.7462965186,13.6568078958
54,20.1002704624,14.0939498765
55,19.9811488539,14.033094587
56,19.8406883498,15.1180134721
57,19.656943426,15.5170235669
58,19.0882738624,15.4757553631
59,18.6507719295,15.31777912
60,18.8673245479,16.1104891155
61,18.4851992603,16.2245890016
62,18.2618943622,16.0272790398
63,18.4473562957,15.8555643425
64,18.7922055816,14.8265568991
65,18.4127987034,13.7635703871
66,18.3346470762,13.1928534356
67,17.9141494782,13.0312997933
68,16.9527836897,13.7433314344
69,16.0332802425,15.1373315199
70,15.8039112473,15.8194604655
71,16.3913764604,15.7842504355
72,16.5857996922,16.3337783763
73,16.8586662521,16.2133231744
74,16.8539464416,16.4414170649
75,16.9940167038,16.7448217054
76,16.0611285368,17.1424952572
77,15.5001995635,16.9228579658
78,15.1533841987,17.3037044393
79,14.7801868786,17.0382749411
80,13.9630792923,17.1415642525
81,13.9598933545,17.4848795375
82,14.4379608785,17.8442000152
83,14.5814232295,17.7246829967
84,15.0784969051,17.9423704446
85,15.7255917992,18.1871769372
86,15.4551574043,17.6833545609
87,14.6431234985,17.853823576
88,14.6984102981,17.5888823171
89,14.1871201203,17.4537348757
