"Time slot","distance (%)"
3,32.0291906234
4,27.5113641586
5,24.2929837491
6,20.9563305022
7,19.5955115309
8,17.8161055511
9,17.1898757377
10,16.1972333859
11,14.9595878536
12,13.9275340222
13,13.2923090791
14,12.8954344073
15,12.8580690286
16,13.1403119182
17,12.4985539665
18,12.5152320535
19,12.1889995505
20,11.9608840052
21,12.0883373181
22,12.1632194713
23,11.5887561571
24,11.0957432759
25,10.648779742
26,10.5096551446
27,10.6497879966
28,10.957194729
29,11.3633874718
30,12.3260118623
31,12.8454808828
32,13.1873526753
33,13.067906256
34,12.9438790527
35,12.0579200662
36,12.0583838135
37,11.6444891879
38,11.3755396794
39,11.6809038885
40,12.000981981
41,11.5777120925
42,12.3453255022
43,13.3615337308
44,14.1969691018
45,15.416241086
46,15.9010229221
47,15.7353695423
48,15.6253862324
49,14.9275696732
50,14.2204093544
51,13.7002883907
52,13.8953789749
53,13.6568078958
54,14.0939498765
55,14.033094587
56,15.1180134721
57,15.5170235669
58,15.4757553631
59,15.31777912
60,16.1104891155
61,16.2245890016
62,16.0272790398
63,15.8555643425
64,14.8265568991
65,13.7635703871
66,13.1928534356
67,13.0312997933
68,13.7433314344
69,15.1373315199
70,15.8194604655
71,15.7842504355
72,16.3337783763
73,16.2133231744
74,16.4414170649
75,16.7448217054
76,17.1424952572
77,16.9228579658
78,17.3037044393
79,17.0382749411
80,17.1415642525
81,17.4848795375
82,17.8442000152
83,17.7246829967
84,17.9423704446
85,18.1871769372
86,17.6833545609
87,17.853823576
88,17.5888823171
89,17.4537348757
90,17.7388055384
91,18.3479972898
92,18.4334412797
93,18.6793412878
94,18.8973479293
95,18.3005133888
96,18.0285287425
97,17.6917771921
98,17.8682220518
99,17.8973254183
100,18.5969612756
101,18.9352489528
102,19.1199939063
103,19.2253699004
104,18.9742077923
105,17.7266931832
106,16.6756428718
107,16.309213937
108,15.9449661897
109,16.1082437777
110,16.3693425036
111,16.8763856817
112,17.1968538845
113,17.3422497449
114,17.3375059612
115,17.1576737829
116,17.2527733578
117,16.9362851149
118,16.9059427787
119,16.3687179458
120,16.6589494942
121,16.751985051
122,16.700359737
123,16.8992817863
124,17.4647568824
125,17.9790858268
126,18.2692468241
127,18.5723893904
128,18.4049544185
129,18.4209654881
130,18.0320349199
131,18.2112587007
132,18.4862516215
133,18.9917767336
134,18.9930162373
135,19.1513119126
136,18.3606280791
137,17.8406558058
138,16.9741057171
139,16.3312590017
140,16.2131319866
141,16.8545635657
142,17.1943931594
143,17.7374272117
144,18.4846273296
145,18.5173858485
146,18.4118681767
147,18.6265553992
148,18.8321171112
149,19.3892288785
150,20.0827669453
151,20.7393110719
152,21.1362914636
153,21.886337205
154,21.6284156176
155,21.3383875112
156,20.982956545
157,20.416881207
158,19.8455984917
159,19.1851048912
160,18.7453440632
161,18.5165712888
162,18.6209887882
163,18.1039010067
164,18.7624604959
165,18.6562856586
166,19.088575754
167,19.3310694296
168,19.5336707304
169,19.0875902863
170,19.3033248288
171,18.6234379001
172,18.7544719161
173,18.6713035832
174,19.1345447858
175,19.4040484541
176,19.7422698202
177,18.9942108497
178,19.257620748
179,19.3650362149
180,19.4067504793
181,19.4941992198
182,20.0305451828
183,20.5781284912
184,20.1652469263
185,20.1085857559
186,20.8560346649
187,21.3206428398
188,21.3488963929
189,22.5876285594
190,22.6326818377
191,22.2963936675
192,21.6880694399
193,21.4118109145
194,20.4898496975
195,20.484098312
196,20.0886473943
197,20.4056010897
198,20.3871864102
199,20.2366789244
200,20.1091587292
201,20.2728843898
202,20.1573152053
203,19.8691414337
204,19.9631764364
205,20.282336969
206,20.3913247588
207,20.7352585034
208,20.626632728
209,20.8975532126
210,21.0947667759
211,21.1937018482
212,20.8956530666
213,21.0376182622
214,20.6687408177
215,20.3117256859
216,20.4283859196
217,20.4149219429
218,21.0032910061
219,21.5066648521
220,22.0808865494
221,21.9805134713
222,22.0889881537
223,21.6022731206
224,21.2498870817
225,20.4296497952
226,20.2291081354
227,20.1655344426
228,20.7942016895
229,20.5899253823
230,20.8087921981
231,20.5478066576
232,20.1547894217
233,19.447553412
234,19.4541063491
235,19.599940057
236,20.4500212237
237,21.4059068812
238,21.516468973
239,21.7374068091
240,21.6866524532
241,20.9962454221
242,20.4513714241
243,20.1705881046
244,20.0986101236
245,20.4966799669
246,20.8995950411
247,21.1698273334
248,21.4746386739
249,22.0588248736
250,22.1791349266
251,21.9956690471
252,21.9815228715
253,22.0294160078
254,21.7882767134
255,21.4615911935
256,21.3998022558
257,21.4427337683
258,21.2796996704
259,21.355748969
260,21.5555599788
261,21.7066311123
262,21.6375988198
263,21.9665756485
264,21.9979854053
265,22.2312355185
266,22.0611535804
267,22.2502211982
268,22.7239989035
269,22.7598160625
270,22.0582966297
271,21.9841025619
272,21.5687570072
273,21.2143035447
274,20.9475987275
275,21.1636138242
276,21.7823154453
277,22.670347007
278,22.9629959611
279,22.6648470051
280,22.7383375796
281,22.7828491248
282,22.4542944131
283,21.9517062549
284,22.5282881241
285,23.3373505911
286,22.9050918008
287,23.1534915308
288,23.6034292396
289,23.8270261359
290,23.3106046758
291,23.9588003169
292,24.1429859385
293,23.7353275227
294,24.2469701771
295,24.3221704521
296,24.2076749245
297,23.5057983773
298,23.7639684863
299,23.5537114809
300,23.7782130617
301,23.6922819948
302,23.8794120786
303,23.8330160214
304,23.5198103897
305,23.6297155413
306,23.3937212552
307,23.2194387436
308,23.4162351292
309,23.5793540216
310,23.5624977514
311,24.0750691487
312,24.6892079247
313,24.7704713553
314,24.4081637795
315,24.0718145245
316,24.0564615928
317,24.0016173031
318,23.951370204
319,24.6081856373
320,24.7145403231
321,24.2695769899
322,23.7711174835
323,23.8132741949
324,23.3150442222
325,23.6171033405
326,23.4958969653
327,23.4534385162
328,23.0291510927
329,22.935356444
330,22.4350135943
331,22.5573624295
332,22.8066493935
333,23.108918481
334,23.2177515754
335,23.6240921045
336,23.7517423505
337,23.9126210091
338,24.2912858044
339,24.6380802297
340,24.896033567
341,25.4165538014
342,25.6375776689
343,25.3224799029
344,25.3317045089
345,24.8737951823
346,24.6034212651
347,24.2870443005
348,24.2678218333
349,23.5310961571
350,23.4384521416
351,23.3954451873
352,23.1024492853
353,22.9530517831
354,23.0510658772
355,23.0539579653
356,23.1385015804
357,23.4480797238
358,23.4718501783
359,23.9936611428
360,24.1406500785
361,23.6737148303
362,23.3868452144
363,23.3441311745
364,23.1961314684
365,23.2793081646
366,23.6255004588
367,23.6461533511
368,23.4479300041
369,23.0219513727
370,22.8540319249
371,22.6620055207
372,23.0354299923
373,23.3448204455
374,23.9420872574
375,23.9971241789
376,24.0057895082
377,23.6978737225
378,23.9398915349
379,24.0561281644
380,24.0748251035
381,24.3173318879
382,24.3197969623
383,23.9152192361
384,23.5548996307
385,22.9780993148
386,22.6647651317
387,22.7925293419
388,22.8895131106
389,22.7834428497
390,22.8158594146
391,22.2529839913
392,22.1181554894
393,22.3684973805
394,22.6940769027
395,22.8991630403
396,23.4359730094
397,23.3525539335
398,22.8441659384
399,22.4032542486
400,22.2302296723
401,21.8862302491
402,21.9267734141
403,22.0511705522
404,22.758232936
405,23.4777593746
406,24.135992098
407,24.2249958754
408,24.399667167
409,23.981451288
410,23.9073958755
411,23.9191082543
412,24.4329601532
413,24.5335553899
414,24.9799896452
415,24.9724157773
416,24.8811081253
417,24.2158352006
418,24.5713862556
419,24.2681842732
420,24.6643839608
421,24.6628550463
422,25.0032669982
423,24.5795855732
424,24.3901819704
425,23.5590863169
426,23.5655698296
427,23.8375204988
428,24.2284544403
429,24.8491144734
430,25.5702798919
431,25.4921351203
432,25.4705052151
433,25.6285374149
434,25.2173512632
435,25.4397788224
436,26.3662687171
437,26.6250027633
438,26.4396073903
439,26.2271068837
440,25.5682999493
441,25.1916221266
442,24.6170356691
443,24.3231060182
444,24.623640297
445,25.1477112696
446,24.689894754
447,25.3111028595
448,26.1652870136
449,26.936015344
450,27.021788654
451,27.7923659624
452,27.3107861089
453,27.0088340765
454,26.2359270374
455,25.9149759111
456,25.4931479344
457,25.6110583348
458,25.6479010291
459,25.4488983791
460,25.4444636898
461,25.6517020649
462,26.1403506829
463,26.3373368957
464,26.6288464957
465,26.4023633611
466,25.8498332442
467,25.150147499
468,24.5804561438
469,24.513769426
470,24.9561088133
471,24.9389778496
472,25.3171009684
473,25.6036090382
474,25.3501075774
475,24.9977876581
476,25.1244082772
477,25.5516455926
478,25.4815785837
