"Time slot","distance (%)"
3,29.3547973868
4,29.9026094619
5,27.5337676442
6,25.4883135309
7,25.6919477359
8,26.0132361575
9,25.09758295
10,25.3574453004
11,25.5833114511
12,25.1513813945
13,24.3993544961
14,23.3160292411
15,22.9681318956
16,22.0900233903
17,21.8453633332
18,22.7981950512
19,22.9342148121
20,22.8037163509
21,22.4702374092
22,21.8925099867
23,21.296012415
24,21.7457845048
25,22.4632911506
26,22.7399592879
27,23.0688360891
28,23.5260675719
29,23.2056622434
30,22.7178620144
31,22.5854900581
32,22.6481161972
33,22.3345471591
34,22.9808170491
35,23.3994069153
36,23.1504056087
37,23.3356894331
38,23.7388358719
39,23.1907889248
40,22.5335063807
41,22.3725913867
42,21.6685475032
43,20.6271038097
44,20.2436950019
45,19.6626504944
46,19.7578766923
47,19.9050476192
48,19.8216494144
49,19.7636901408
50,19.6927031846
51,19.4621029403
52,19.3875307666
53,19.7462965186
54,20.1002704624
55,19.9811488539
56,19.8406883498
57,19.656943426
58,19.0882738624
59,18.6507719295
60,18.8673245479
61,18.4851992603
62,18.2618943622
63,18.4473562957
64,18.7922055816
65,18.4127987034
66,18.3346470762
67,17.9141494782
68,16.9527836897
69,16.0332802425
70,15.8039112473
71,16.3913764604
72,16.5857996922
73,16.8586662521
74,16.8539464416
75,16.9940167038
76,16.0611285368
77,15.5001995635
78,15.1533841987
79,14.7801868786
80,13.9630792923
81,13.9598933545
82,14.4379608785
83,14.5814232295
84,15.0784969051
85,15.7255917992
86,15.4551574043
87,14.6431234985
88,14.6984102981
89,14.1871201203
90,13.7705419241
91,13.975472499
92,13.9071084072
93,14.0503165803
94,14.2507988584
95,14.2832478357
96,14.3835108617
97,14.9750765081
98,15.2040976853
99,15.0681732812
100,15.3703942122
101,15.2996492841
102,15.3447341967
103,14.9460299594
104,15.2808815709
105,15.4524390485
106,15.4153037792
107,15.1157145267
108,14.8183802461
109,14.5285488238
110,14.3816807515
111,14.5381322207
112,14.5011310491
113,14.3597792887
114,13.8983874006
115,13.8720476442
116,13.8017373429
117,14.5916063118
118,15.1897760055
119,15.6144244543
120,15.2125547768
121,15.5871376862
122,15.2001992547
123,15.0239638184
124,15.0587715516
125,15.0514410562
126,14.8421332067
127,14.2788713335
128,14.5624125833
129,14.3617273358
130,14.1836075628
131,13.2686240326
132,13.1152151518
133,13.0884787256
134,12.8027769033
135,12.9596510762
136,13.6728804847
137,13.4655072667
138,13.2750101421
139,14.254361479
140,14.4685352564
141,14.6714628171
142,15.1548636364
143,14.8055095779
144,13.9084750279
145,13.5101571449
146,12.5852242485
147,11.953163888
148,11.5432915492
149,10.8843658006
150,10.6634392538
151,11.2103603981
152,11.5879482214
153,11.4100064763
154,11.9725973039
155,12.0639216073
156,11.3122203056
157,11.6825669935
158,12.4007649824
159,12.6969582579
160,13.3425879335
161,14.1071903944
162,14.1859500213
163,14.6178754551
164,14.7186664583
165,14.4222568354
166,13.9463938175
167,13.1158739565
168,12.2888408969
169,12.1214745476
170,11.9926418263
171,12.0046031358
172,12.4602072269
173,12.5331103801
174,11.8936988475
175,11.8118697453
176,12.1631388381
177,12.0786366055
178,12.1571861907
179,12.6224976538
180,12.6281894343
181,12.8145577467
182,13.0667279525
183,12.8641794823
184,12.9517687056
185,12.8805676099
186,12.2122680794
187,11.6357870575
188,11.5580238461
189,11.0798623476
190,11.1359055197
191,11.3934541035
192,11.8627293075
193,11.8625722144
194,12.1069652509
195,12.2253725864
196,12.0315634947
197,11.6698678542
198,11.7282925497
199,11.87185672
200,11.9819234968
201,12.0518410035
202,11.93487559
203,11.4817337316
204,11.4987256142
205,11.2803193193
206,11.4038096904
207,11.56593723
208,12.0366453251
209,11.5658063427
210,11.7587427193
211,11.4421751945
212,11.5980780024
213,11.4939427913
214,11.7508054076
215,11.8950742065
216,12.0530120646
217,11.9603753287
218,11.8148177483
219,12.2598282998
220,11.6955666148
221,11.5681243279
222,11.355137364
223,10.9860771012
224,10.314941311
225,10.765818152
226,11.0583237837
227,11.1240831296
228,11.010860874
229,10.9820557724
230,10.1310595337
231,9.65713383339
232,9.72487212268
233,10.2842074465
234,10.6124053208
235,11.2221883301
236,11.0803772238
237,10.7916796174
238,10.7622644874
239,10.8806232913
240,10.784499485
241,11.3111319142
242,11.8597593114
243,12.1747688915
244,12.1325990792
245,12.0691985408
246,11.8576927258
247,11.73799374
248,11.707929275
249,11.5534201007
250,11.6293920427
251,11.8502429499
252,11.6947888267
253,11.4857112613
254,11.673514865
255,11.6515442059
256,11.6269134183
257,11.5817997927
258,11.8934081036
259,11.3857760961
260,11.4670328576
261,11.3687476807
262,11.3910876978
263,10.9696744406
264,10.9659210437
265,10.7422189893
266,10.7110452458
267,10.7579505309
268,10.8744935662
269,11.2065165717
270,11.6066605853
271,11.6652651735
272,11.9523311504
273,11.9513628462
274,11.8648940946
275,11.4130657659
276,10.9000720913
277,10.0083237667
278,9.58281868768
279,9.86777548679
280,9.9887534038
281,10.3700984705
282,10.3629245407
283,10.4977770356
284,9.74706492399
285,9.16840524104
286,9.33092633844
287,9.19457583081
288,9.08375821014
289,8.97841957067
290,8.78457879964
291,7.97263670039
292,7.93546524913
293,8.06945298929
294,8.256120036
295,9.02650287709
296,9.54703364472
297,10.2557590591
298,10.4542180027
299,10.743974185
300,10.891258024
301,11.5775309662
302,11.6185843289
303,11.6074646811
304,11.7364207496
305,11.6233465224
306,11.0572038521
307,10.8908997949
308,10.6970388382
309,10.6065106126
310,10.4711909998
311,10.5382861065
312,9.89338691407
313,9.48473382769
314,9.1881379585
315,8.7281531064
316,8.03173778494
317,8.17992448093
318,8.3403273403
319,8.42839421847
320,8.57928332034
321,9.10127060636
322,9.24688281632
323,9.35776443042
324,9.34696257646
325,9.40856974721
326,9.76909460506
327,10.3805437644
328,10.9747276044
329,11.21056039
330,11.7432893602
331,11.3663154599
332,10.304435789
