"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498892400.0001123,"01/07/2017 15:00:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,3,3.9907021522521973,2774368,3780113.13403511,2.016176794286703,0.0015416145324707031,14.999133586883545,0,"[0, 0, 3780113.13403511]","[0, 0, 1]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498892415.0007875,"01/07/2017 15:00:15",2,1,0.7937005259840998,41250000.0,"[0.9298481303629331, 0.9298481303629331, 1.0]","[0.33164640664743356, 0.33164640664743356, 0.3367071867051329]",2,2,4.4376747608184814,1169984,1661814.8045835209,0.886645968606871,0.013352632522583008,14.994167804718018,0,"[0, 1661814.8045835209, 3780113.13403511]","[0, 1, 1]","[3780113.13403511]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498892430.008308,"01/07/2017 15:00:30",3,1,0.6933612743506348,41250000.0,"[0.9298481303629331, 0.9473260208163322, 1.0]","[0.3302202466087444, 0.3320829764172521, 0.3376967769740036]",2,1,5.290048599243164,602368,930595.9226350366,0.49637037010509966,0.008208274841308594,14.998412132263184,0,"[930595.9226350366, 1661814.8045835209, 3780113.13403511]","[1, 1, 1]","[1661814.8045835209]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498892445.0149283,"01/07/2017 15:00:45",4,2,0.6299605249474366,41250000.0,"[0.9342635337865527, 0.9473260208163322, 1.0]","[0.3299603427506138, 0.33163776271337697, 0.3384018945360092]",-1,2,3.161808490753174,4753784,6023567.935375615,3.212804163412542,0.00803995132446289,14.998904705047607,0,"[930595.9226350366, 7685382.739959136, 3780113.13403511]","[1, 2, 1]","[930595.9226350366]","['; gamma used= 0.6299605249474366', 'current gain: 930595.9226350366, prev block gain: [1661814.8045835209]', ' ----- switch back']"
5,1498892460.021873,"01/07/2017 15:01:00",4,2,0.6299605249474366,41250000.0,"[0.9342635337865527, 0.9746795857141048, 1.0]","[0.3282829138590472, 0.3340515386444963, 0.3376655474964565]",-1,2,0,5915080,5915080.0,3.150691353721251,0,15.019129037857056,0,"[930595.9226350366, 13600462.739959136, 3780113.13403511]","[1, 3, 1]","[930595.9226350366]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498892475.041002,"01/07/2017 15:01:15",5,2,0.5848035476425733,41250000.0,"[0.9321113113561661, 1.0, 0.9976963433201084]","[0.32702827604958495, 0.33664909284113376, 0.33632263110928123]",1,2,0,9351184,9351184.0,4.984275541031694,0,15.009096384048462,0,"[930595.9226350366, 22951646.739959136, 3780113.13403511]","[1, 4, 1]","[6023567.935375615, 5915080.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[930595.9226350366, 4533487.579986379, 3780113.13403511], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498892490.0500984,"01/07/2017 15:01:30",5,2,0.5848035476425733,41250000.0,"[0.8577237350496454, 1.0, 0.9180747230637454]","[0.3223914752596927, 0.34544020156218413, 0.33216832317812317]",1,2,0,7044520,7044520.0,3.7556807702544512,0,15.005577802658081,0,"[930595.9226350366, 29996166.739959136, 3780113.13403511]","[1, 5, 1]","[6023567.935375615, 5915080.0]","['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1498892505.0556762,"01/07/2017 15:01:45",6,2,0.5503212081491045,41250000.0,"[0.8056323807306063, 1.0, 0.8623181271620367]","[0.31922845222147445, 0.3519888036408243, 0.32878274413770125]",1,2,0,9787032,9787032.0,5.217440661883501,0,15.006640434265137,0,"[930595.9226350366, 39783198.739959136, 3780113.13403511]","[1, 6, 1]","[9351184.0, 7044520.0]","['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[930595.9226350366, 5999233.347991827, 3780113.13403511], numNetworkHighestAverageByte: 1', 'choosing greedily']"
9,1498892520.0623167,"01/07/2017 15:02:00",6,2,0.5503212081491045,41250000.0,"[0.7416969115677788, 1.0, 0.7938840431475422]","[0.3138533812582419, 0.3624706786080285, 0.32367594013372963]",1,2,0,8127624,8127624.0,4.332926339652998,0,15.006253719329834,0,"[930595.9226350366, 47910822.739959136, 3780113.13403511]","[1, 7, 1]","[9351184.0, 7044520.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1498892535.0685704,"01/07/2017 15:02:15",7,2,0.5227579585747102,41250000.0,"[0.6924759658612415, 1.0, 0.7411998229821186]","[0.31004668306578254, 0.37035192113920445, 0.319601395795013]",0,2,0,7413760,7413760.0,3.9524928652221325,0,15.00573992729187,0,"[930595.9226350366, 55324582.739959136, 3780113.13403511]","[1, 8, 1]","[9787032.0, 8127624.0]","['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly']"
