"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498907400.000127,"01/07/2017 19:10:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,4.1819634437561035,4616224,6400873.516425863,3.4139935280217544,0.0015048980712890625,14.999146223068237,0,"[0, 6400873.516425863, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498907415.0007782,"01/07/2017 19:10:15",2,1,0.7937005259840998,41250000.0,"[0.8841216199232176, 1.0, 0.8841216199232176]","[0.33045477500970605, 0.3390904499805879, 0.33045477500970605]",2,3,3.155698299407959,3868352,4899244.67849883,2.6134125146050504,0.009582996368408203,14.997233390808105,1448,"[0, 6400873.516425863, 4899244.67849883]","[0, 1, 1]","[6400873.516425863]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498907430.0075946,"01/07/2017 19:10:30",3,1,0.6933612743506348,41250000.0,"[0.8841216199232176, 1.0, 0.9340171297568133]","[0.3273207722231765, 0.3399293773889412, 0.3327498503878823]",2,1,4.239077806472778,1026632,1431136.529338732,0.7633821275393087,0.00967550277709961,14.997852087020874,0,"[1431136.529338732, 6400873.516425863, 4899244.67849883]","[1, 1, 1]","[4899244.67849883]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498907445.0151222,"01/07/2017 19:10:45",4,2,0.6299605249474366,41250000.0,"[0.8905862571099562, 1.0, 0.9340171297568133]","[0.32665882207736263, 0.34099265888107727, 0.3323485190415601]",-1,3,4.821641206741333,1251072,1843824.982666901,0.983487501041179,0.009206295013427734,14.998258590698242,1448,"[1431136.529338732, 6400873.516425863, 6743069.661165731]","[1, 1, 2]","[1431136.529338732]","['; gamma used= 0.6299605249474366', 'current gain: 1431136.529338732, prev block gain: [4899244.67849883]', ' ----- switch back']"
5,1498907460.022587,"01/07/2017 19:11:00",4,2,0.6299605249474366,41250000.0,"[0.8905862571099562, 1.0, 0.9421910948379781]","[0.3254665727740919, 0.34150320122844446, 0.3330302259974636]",-1,3,0,1810000,1810000.0,0.9642719294284696,0,15.016510963439941,0,"[1431136.529338732, 6400873.516425863, 8553069.661165731]","[1, 1, 3]","[1431136.529338732]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498907475.039098,"01/07/2017 19:11:15",5,2,0.5848035476425733,41250000.0,"[0.8905862571099562, 1.0, 0.9502846820670889]","[0.32509468942870956, 0.34108562983385643, 0.33381968073743395]",1,2,4.363630533218384,1711536,2413797.9143789927,1.28748189661427,0.007901191711425781,14.99856686592102,0,"[1431136.529338732, 8814671.430804856, 8553069.661165731]","[1, 2, 3]","[1843824.982666901, 1810000.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[1431136.529338732, 6400873.516425863, 2851023.220388577], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498907490.045566,"01/07/2017 19:11:30",5,2,0.5848035476425733,41250000.0,"[0.8716704687270738, 1.0, 0.9301009168158625]","[0.3233417969885267, 0.3439384341300752, 0.3327197688813981]",1,2,0,3032112,3032112.0,1.6163292125847737,0,15.007398128509521,0,"[1431136.529338732, 11846783.430804856, 8553069.661165731]","[1, 3, 3]","[1843824.982666901, 1810000.0]","['; gamma used= 0.5503212081491045', 'current gain: 2413797.9143789927, prev block gain: [1843824.982666901, 1810000.0]', 'no selection ----- in the middle of a block']"
8,1498907505.0529642,"01/07/2017 19:11:45",6,2,0.5503212081491045,41250000.0,"[0.8484775302180307, 1.0, 0.905353292404063]","[0.3219900723499536, 0.34673249319516103, 0.33127743445488544]",1,2,0,1647824,1647824.0,0.8784569306602271,0,15.006531953811646,0,"[1431136.529338732, 13494607.430804856, 8553069.661165731]","[1, 4, 3]","[2413797.9143789927, 3032112.0]","['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[1431136.529338732, 3948927.810268285, 2851023.220388577], numNetworkHighestAverageByte: 1', 'choosing greedily']"
9,1498907520.0594962,"01/07/2017 19:12:00",6,2,0.5503212081491045,41250000.0,"[0.8367470165031632, 1.0, 0.8928364503721741]","[0.32055001256844196, 0.3490932639686226, 0.33035672346293543]",1,2,0,3592488,3592488.0,1.9150907934343582,0,15.007071256637573,0,"[1431136.529338732, 17087095.430804856, 8553069.661165731]","[1, 5, 3]","[2413797.9143789927, 3032112.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1498907535.0665674,"01/07/2017 19:12:15",7,2,0.5227579585747102,41250000.0,"[0.811731996404759, 1.0, 0.8661446052742556]","[0.3189167627770956, 0.3524692447378108, 0.3286139924850936]",0,2,0,4194856,4194856.0,2.236327410373882,0,15.006232023239136,0,"[1431136.529338732, 21281951.430804856, 8553069.661165731]","[1, 6, 3]","[1647824.0, 3592488.0]","['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly']"
11,1498907550.0727994,"01/07/2017 19:12:30",7,2,0.5227579585747102,41250000.0,"[0.7736224883478108, 1.0, 0.8254805129884042]","[0.3154915666321714, 0.35904072792662706, 0.32546770544120146]",0,2,0,2489112,2489112.0,1.326993194523278,0,15.006027221679688,0,"[1431136.529338732, 23771063.430804856, 8553069.661165731]","[1, 7, 3]","[1647824.0, 3592488.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
