"time slot","timestamp","date time","max gain","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","log"
1,1498947300.0000744,"02/07/2017 06:15:00",41250000.0,1,3.7080893516540527,1003464,1332996.5353256164,0.7109484245380938,0.0008432865142822266,14.999642610549927,0,"[1332996.5353256164, 0, 0]","[1, 0, 0]","[]"
2,1498947315.0005603,"02/07/2017 06:15:15",41250000.0,2,4.071940660476685,955680,1311779.720157236,0.69961671811897,0.006998538970947266,14.99998140335083,0,"[1332996.5353256164, 1311779.720157236, 0]","[1, 1, 0]","[]"
3,1498947330.0075402,"02/07/2017 06:15:30",41250000.0,3,3.9327504634857178,2738168,3711211.4545419333,1.9793647495844318,0.008781194686889648,14.999606132507324,4344,"[1332996.5353256164, 1311779.720157236, 3711211.4545419333]","[1, 1, 1]","[]"
4,1498947345.0159276,"02/07/2017 06:15:45",41250000.0,3,0,1545016,1545016.0,0.8235546097391458,0,15.008267641067505,0,"[1332996.5353256164, 1311779.720157236, 5256227.454541933]","[1, 1, 2]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 3711211.4545419333], numNetworkHighestAverageByte: 1']"
5,1498947360.0241952,"02/07/2017 06:16:00",41250000.0,3,0,2400784,2400784.0,1.2798810331924702,0,15.00629472732544,0,"[1332996.5353256164, 1311779.720157236, 7657011.454541933]","[1, 1, 3]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 2628113.7272709664], numNetworkHighestAverageByte: 1']"
6,1498947375.03049,"02/07/2017 06:16:15",41250000.0,3,0,3322976,3322976.0,1.7715622443800854,0,15.005856037139893,0,"[1332996.5353256164, 1311779.720157236, 10979987.454541933]","[1, 1, 4]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 2552337.1515139774], numNetworkHighestAverageByte: 1']"
7,1498947390.036346,"02/07/2017 06:16:30",41250000.0,3,0,3111372,3111372.0,1.6586345764973822,0,15.00690770149231,0,"[1332996.5353256164, 1311779.720157236, 14091359.454541933]","[1, 1, 5]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 2744996.863635483], numNetworkHighestAverageByte: 1']"
8,1498947405.0432537,"02/07/2017 06:16:45",41250000.0,3,0,3460644,3460644.0,1.8448309838688899,0,15.006877183914185,0,"[1332996.5353256164, 1311779.720157236, 17552003.454541933]","[1, 1, 6]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 2818271.8909083866], numNetworkHighestAverageByte: 1']"
9,1498947420.0501308,"02/07/2017 06:17:00",41250000.0,3,0,3246804,3246804.0,1.7309004768848963,0,15.006311655044556,0,"[1332996.5353256164, 1311779.720157236, 20798807.454541933]","[1, 1, 7]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 2925333.909090322], numNetworkHighestAverageByte: 1']"
10,1498947435.0564425,"02/07/2017 06:17:15",41250000.0,3,0,2605284,2605284.0,1.3888004718662845,0,15.007391214370728,0,"[1332996.5353256164, 1311779.720157236, 23404091.454541933]","[1, 1, 8]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 2971258.2077917047], numNetworkHighestAverageByte: 1']"
11,1498947450.0638337,"02/07/2017 06:17:30",41250000.0,3,0,3049596,3049596.0,1.6257428605743716,0,15.006535530090332,0,"[1332996.5353256164, 1311779.720157236, 26453687.454541933]","[1, 1, 9]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 2925511.4318177416], numNetworkHighestAverageByte: 1']"
12,1498947465.0703692,"02/07/2017 06:17:45",41250000.0,3,0,3904956,3904956.0,2.0818146706812035,0,15.005969762802124,0,"[1332996.5353256164, 1311779.720157236, 30358643.454541933]","[1, 1, 10]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 2939298.606060215], numNetworkHighestAverageByte: 1']"
13,1498947480.076339,"02/07/2017 06:18:00",41250000.0,3,0,3423816,3423816.0,1.8253228505541856,0,15.00585389137268,0,"[1332996.5353256164, 1311779.720157236, 33782459.45454194]","[1, 1, 11]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 3035864.345454193], numNetworkHighestAverageByte: 1']"
14,1498947495.082193,"02/07/2017 06:18:15",41250000.0,3,0,3826548,3826548.0,2.0400339646581465,0,15.005820751190186,0,"[1332996.5353256164, 1311779.720157236, 37609007.45454194]","[1, 1, 12]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 3071132.6776856305], numNetworkHighestAverageByte: 1']"
15,1498947510.0880136,"02/07/2017 06:18:30",41250000.0,3,0,4598748,4598748.0,2.45175071238933,0,15.005597352981567,0,"[1332996.5353256164, 1311779.720157236, 42207755.45454194]","[1, 1, 13]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 3134083.954545161], numNetworkHighestAverageByte: 1']"
16,1498947525.093611,"02/07/2017 06:18:45",41250000.0,3,0,2901096,2901096.0,1.5466755961587197,0,15.005582332611084,0,"[1332996.5353256164, 1311779.720157236, 45108851.45454194]","[1, 1, 14]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 3246750.419580149], numNetworkHighestAverageByte: 1']"
17,1498947540.0991933,"02/07/2017 06:19:00",41250000.0,3,0,3920400,3920400.0,2.0899378189474933,0,15.006762266159058,0,"[1332996.5353256164, 1311779.720157236, 49029251.45454194]","[1, 1, 15]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 3222060.818181567], numNetworkHighestAverageByte: 1']"
18,1498947555.1059556,"02/07/2017 06:19:15",41250000.0,3,0,5457672,5457672.0,2.9094816689870613,0,15.006582260131836,0,"[1332996.5353256164, 1311779.720157236, 54486923.45454194]","[1, 1, 16]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 3268616.763636129], numNetworkHighestAverageByte: 1']"
19,1498947570.1125379,"02/07/2017 06:19:30",41250000.0,3,0,4465692,4465692.0,2.380742792931526,0,15.006046056747437,0,"[1332996.5353256164, 1311779.720157236, 58952615.45454194]","[1, 1, 17]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 3405432.715908871], numNetworkHighestAverageByte: 1']"
20,1498947585.118584,"02/07/2017 06:19:45",41250000.0,3,0,3117312,3117312.0,1.6615258758429812,0,15.009393692016602,0,"[1332996.5353256164, 1311779.720157236, 62069927.45454194]","[1, 1, 18]","['averageBytePerNet:[1332996.5353256164, 1311779.720157236, 3467800.909090702], numNetworkHighestAverageByte: 1']"
