"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498746720.0001323,"29/06/2017 22:32:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,6.711400747299194,1233696,2232811.039731577,1.190946662076338,0.0023653507232666016,14.998562812805176,0,"[0, 2232811.039731577, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498746735.0010605,"29/06/2017 22:32:15",2,1,0.7937005259840998,41250000.0,"[0.9579477728907027, 1.0, 0.9579477728907027]","[0.3323416022970603, 0.33531679540587944, 0.3323416022970603]",2,1,4.370747327804565,1204736,1700325.7709516955,0.9071030353074768,0.015274524688720703,14.995657205581665,0,"[1700325.7709516955, 2232811.039731577, 0]","[1, 1, 0]","[2232811.039731577]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498746750.0119922,"29/06/2017 22:32:30",3,1,0.6933612743506348,41250000.0,"[0.9763750997826682, 1.0, 0.9579477728907027]","[0.33315228335688596, 0.3356211014149465, 0.33122661522816754]",2,3,4.284520387649536,10055736,14077467.64432767,7.5093243218925965,0.013407707214355469,14.997320175170898,0,"[1700325.7709516955, 2232811.039731577, 14077467.64432767]","[1, 1, 1]","[1700325.7709516955]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498746765.02272,"29/06/2017 22:32:45",4,2,0.6299605249474366,41250000.0,"[0.9487508626979022, 0.9717073519276405, 1.0]","[0.33019923483807284, 0.33310795894892653, 0.3366928062130006]",1,3,0,8152168,8152168.0,4.344217859810437,0,15.012447834014893,0,"[1700325.7709516955, 2232811.039731577, 22229635.64432767]","[1, 1, 2]","[14077467.64432767]","['; gamma used= 0.6299605249474366', 'current gain: 14077467.64432767, prev block gain: [1700325.7709516955]', 'flipped coin and will select greedily...', 'averageBytePerNet:[1700325.7709516955, 2232811.039731577, 14077467.64432767], numNetworkHighestAverageByte: 1', 'choosing greedily']"
5,1498746780.035168,"29/06/2017 22:33:00",4,2,0.6299605249474366,41250000.0,"[0.878395614490765, 0.8996497500666368, 1.0]","[0.3262162967890657, 0.3293928617946669, 0.3443908414162674]",1,3,0,4139896,4139896.0,2.206431390925711,0,15.010286808013916,0,"[1700325.7709516955, 2232811.039731577, 26369531.64432767]","[1, 1, 3]","[14077467.64432767]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498746795.0454547,"29/06/2017 22:33:15",5,2,0.5848035476425733,41250000.0,"[0.8446897391603068, 0.8651283091389024, 1.0]","[0.32435729511956, 0.3274888787148859, 0.34815382616555407]",0,1,4.854881763458252,2002584,2961671.5959315323,1.5804093984745786,0.01766800880432129,14.991920948028564,8624,"[4661997.366883228, 2232811.039731577, 26369531.64432767]","[2, 1, 3]","[8152168.0, 4139896.0]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
7,1498746810.0550437,"29/06/2017 22:33:30",6,2,0.5848035476425733,41250000.0,"[0.879694626723493, 0.8651283091389024, 1.0]","[0.32755899476626216, 0.3251726244078779, 0.34726838082586]",-1,3,4.328457593917847,4404816,6191757.620231966,3.3026852294783158,0.012192249298095703,14.998117446899414,0,"[4661997.366883228, 2232811.039731577, 32561289.264559634]","[2, 1, 4]","[2961671.5959315323]","['; gamma used= 0.5503212081491045', 'current gain: 2961671.5959315323, prev block gain: [8152168.0, 4139896.0]', ' ----- switch back']"
8,1498746825.0653534,"29/06/2017 22:33:45",6,2,0.5503212081491045,41250000.0,"[0.8569837429852947, 0.8427934808352922, 1.0]","[0.3257424377790118, 0.3232340124107721, 0.35102354981021605]",-1,3,0,11097536,11097536.0,5.914164974585045,0,15.011466264724731,0,"[4661997.366883228, 2232811.039731577, 43658825.264559634]","[2, 1, 5]","[2961671.5959315323]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
9,1498746840.0768197,"29/06/2017 22:34:00",7,2,0.5227579585747102,41250000.0,"[0.8177360053451788, 0.8041956221344986, 1.0]","[0.32309635131616676, 0.3206317408521032, 0.35627190783173013]",1,3,0,8395472,8395472.0,4.474546137650623,0,15.01018738746643,0,"[4661997.366883228, 2232811.039731577, 52054297.264559634]","[2, 1, 6]","[6191757.620231966, 11097536.0]","['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[2330998.683441614, 2232811.039731577, 8731765.052911926], numNetworkHighestAverageByte: 1', 'choosing greedily']"
10,1498746855.087007,"29/06/2017 22:34:15",7,2,0.5227579585747102,41250000.0,"[0.7640989944667901, 0.7514467532442596, 1.0]","[0.31854205894726034, 0.3160272485459701, 0.3654306925067695]",1,3,0,7260272,7260272.0,3.8695703989511094,0,15.00998044013977,0,"[4661997.366883228, 2232811.039731577, 59314569.264559634]","[2, 1, 7]","[6191757.620231966, 11097536.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
