"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498746720.0001097,"29/06/2017 22:32:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,3.2007977962493896,719656,914892.8206278121,0.4879703950223546,0.0015499591827392578,14.999152898788452,0,"[0, 914892.8206278121, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498746735.0008125,"29/06/2017 22:32:15",2,1,0.7937005259840998,41250000.0,"[0.9825503806915966, 1.0, 0.9825503806915966]","[0.33292864250101434, 0.33414271499797127, 0.33292864250101434]",2,3,4.732642412185669,3362384,4912457.754281394,2.6202254373417166,0.00850534439086914,14.99858045578003,0,"[0, 914892.8206278121, 4912457.754281394]","[0, 1, 1]","[914892.8206278121]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498746750.0078983,"29/06/2017 22:32:30",3,1,0.6933612743506348,41250000.0,"[0.9464395193875266, 0.9632478272730887, 1.0]","[0.3308613843963577, 0.3326327355747811, 0.33650588002886117]",2,1,4.806337118148804,1044008,1536395.426922366,0.8195636965423893,0.01181483268737793,14.997203350067139,14352,"[1536395.426922366, 914892.8206278121, 4912457.754281394]","[1, 1, 1]","[4912457.754281394]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498746765.0169165,"29/06/2017 22:32:45",4,2,0.6299605249474366,41250000.0,"[0.9538707964042604, 0.9632478272730887, 1.0]","[0.3309863258334554, 0.3321758117707392, 0.33683786239580543]",-1,3,4.8671629428863525,1067176,1579858.6267873175,0.8426800299121007,0.009106159210205078,14.998420000076294,1448,"[1536395.426922366, 914892.8206278121, 6492316.381068712]","[1, 1, 2]","[1536395.426922366]","['; gamma used= 0.6299605249474366', 'current gain: 1536395.426922366, prev block gain: [4912457.754281394]', ' ----- switch back']"
5,1498746780.0244427,"29/06/2017 22:33:00",4,2,0.6299605249474366,41250000.0,"[0.9467757968012032, 0.9560830802466456, 1.0]","[0.3303520365594753, 0.3316832590650497, 0.337964704375475]",-1,3,0,2463048,2463048.0,1.3130155542861408,0,15.006969213485718,0,"[1536395.426922366, 914892.8206278121, 8955364.381068712]","[1, 1, 3]","[1536395.426922366]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498746795.031412,"29/06/2017 22:33:15",5,2,0.5848035476425733,41250000.0,"[0.9358196016210505, 0.9450191801437754, 1.0]","[0.32980807461626616, 0.3311339497016741, 0.33905797568205975]",0,2,4.946613550186157,2658528,3967189.7992683435,2.1164569028750493,0.010704517364501953,14.995589256286621,0,"[1536395.426922366, 4882082.619896156, 8955364.381068712]","[1, 2, 3]","[1579858.6267873175, 2463048.0]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
7,1498746810.0377057,"29/06/2017 22:33:30",5,2,0.5848035476425733,41250000.0,"[0.9358196016210505, 0.9967335853150175, 1.0]","[0.32693932704006007, 0.33627989986116114, 0.33678077309877885]",0,2,0,2620880,2620880.0,1.3970540056921337,0,15.00803828239441,0,"[1536395.426922366, 7502962.619896156, 8955364.381068712]","[1, 3, 3]","[1579858.6267873175, 2463048.0]","['; gamma used= 0.5503212081491045', 'current gain: 3967189.7992683435, prev block gain: [1579858.6267873175, 2463048.0]', 'no selection ----- in the middle of a block']"
8,1498746825.045744,"29/06/2017 22:33:45",6,2,0.5503212081491045,41250000.0,"[0.9064145578097962, 1.0, 0.9685782988940196]","[0.3252130691498012, 0.3398508058943618, 0.334936124955837]",0,2,0,2108288,2108288.0,1.123899908891835,0,15.00694489479065,0,"[1536395.426922366, 9611250.619896155, 8955364.381068712]","[1, 4, 3]","[3967189.7992683435, 2620880.0]","['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1498746840.0526888,"29/06/2017 22:34:00",6,2,0.5503212081491045,41250000.0,"[0.8829697938417397, 1.0, 0.9435256456610195]","[0.32333844335363227, 0.34309850866801894, 0.3335630479783489]",0,2,0,1579768,1579768.0,0.8421924535267792,0,15.006242275238037,0,"[1536395.426922366, 11191018.619896155, 8955364.381068712]","[1, 5, 3]","[3967189.7992683435, 2620880.0]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1498746855.058931,"29/06/2017 22:34:15",7,2,0.5227579585747102,41250000.0,"[0.8658006237942948, 1.0, 0.9251789792546907]","[0.32229976030233454, 0.34524710975212813, 0.33245312994553733]",0,2,0,2927856,2927856.0,1.5608723006584155,0,15.006255149841309,0,"[1536395.426922366, 14118874.619896155, 8955364.381068712]","[1, 6, 3]","[2108288.0, 1579768.0]","['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly']"
11,1498746870.0651863,"29/06/2017 22:34:30",7,2,0.5227579585747102,41250000.0,"[0.8366368880049931, 1.0, 0.8940151355621847]","[0.3198602777134626, 0.34977311731826843, 0.3303666049682689]",0,2,0,2054712,2054712.0,1.095346765869412,0,15.006842136383057,0,"[1536395.426922366, 16173586.619896155, 8955364.381068712]","[1, 7, 3]","[2108288.0, 1579768.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
