"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498459200.0000734,"26/06/2017 14:40:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,2.753199815750122,2141592,2623086.3207721966,1.3990828214290325,0.001546621322631836,14.99889087677002,0,"[0, 2623086.3207721966, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498459215.000511,"26/06/2017 14:40:15",2,1,0.7937005259840998,41250000.0,"[0.9507811265587416, 1.0, 0.9507811265587416]","[0.33216685509197935, 0.3356662898160413, 0.33216685509197935]",2,3,3.8996691703796387,4634048,6262482.666202203,3.34066218451792,0.007964849472045898,14.99698519706726,1448,"[0, 2623086.3207721966, 6262482.666202203]","[0, 1, 1]","[2623086.3207721966]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498459230.005461,"26/06/2017 14:40:30",3,1,0.6933612743506348,41250000.0,"[0.9322293870799453, 0.980487896782362, 1.0]","[0.3292616459898927, 0.33434210058769165, 0.33639625342241564]",2,1,3.4540605545043945,4797224,6232584.834275106,3.324460151466125,0.0070667266845703125,14.998127937316895,11840,"[6232584.834275106, 2623086.3207721966, 6262482.666202203]","[1, 1, 1]","[6262482.666202203]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498459245.0106556,"26/06/2017 14:40:45",4,2,0.6299605249474366,41250000.0,"[0.962280937193812, 0.980487896782362, 1.0]","[0.33098918771897273, 0.3332786280890976, 0.33573218419192963]",-1,3,4.6274566650390625,4562648,6598293.638818886,3.519247459103675,0.005154848098754883,14.99932861328125,2896,"[6232584.834275106, 2623086.3207721966, 12860776.305021089]","[1, 1, 2]","[6232584.834275106]","['; gamma used= 0.6299605249474366', 'current gain: 6232584.834275106, prev block gain: [6262482.666202203]', ' ----- switch back']"
5,1498459260.015139,"26/06/2017 14:41:00",4,2,0.6299605249474366,41250000.0,"[0.9327385940488202, 0.9503865939541819, 1.0]","[0.32925742243982226, 0.3317988961789441, 0.33894368138123365]",-1,3,0,3562080,3562080.0,1.8988866574654757,0,15.007025241851807,0,"[6232584.834275106, 2623086.3207721966, 16422856.305021089]","[1, 1, 3]","[6232584.834275106]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498459275.0221643,"26/06/2017 14:41:15",5,2,0.5848035476425733,41250000.0,"[0.9171689660372637, 0.9345223788038198, 1.0]","[0.3284711630358542, 0.3309977602533275, 0.3405310767108183]",1,1,4.180646181106567,522728,724737.4517037652,0.386561202173384,0.008290529251098633,14.998658895492554,0,"[6957322.285978871, 2623086.3207721966, 16422856.305021089]","[2, 1, 3]","[6598293.638818886, 3562080.0]","['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[6232584.834275106, 2623086.3207721966, 5474285.435007029], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1498459290.0291138,"26/06/2017 14:41:30",6,2,0.5848035476425733,41250000.0,"[0.9231000155442358, 0.9345223788038198, 1.0]","[0.32870049746103314, 0.33049793386159143, 0.3408015686773755]",-1,3,3.641338348388672,3336944,4406842.426396907,2.35056086314055,0.008004188537597656,14.99843716621399,0,"[6957322.285978871, 2623086.3207721966, 20829698.731417995]","[2, 1, 4]","[724737.4517037652]","['; gamma used= 0.5503212081491045', 'current gain: 724737.4517037652, prev block gain: [6598293.638818886, 3562080.0]', ' ----- switch back']"
8,1498459305.0355551,"26/06/2017 14:41:45",6,2,0.5503212081491045,41250000.0,"[0.9060746825253343, 0.9172863757219971, 1.0]","[0.327409447986875, 0.3293045975049926, 0.3432859545081324]",-1,3,0,4142728,4142728.0,2.208820246348103,0,15.004310131072998,0,"[6957322.285978871, 2623086.3207721966, 24972426.731417995]","[2, 1, 5]","[724737.4517037652]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
9,1498459320.0398653,"26/06/2017 14:42:00",7,2,0.5227579585747102,41250000.0,"[0.8903561755301338, 0.901373369221029, 1.0]","[0.3264577257330481, 0.32834109871869643, 0.34520117554825547]",1,3,0,3628688,3628688.0,1.934452225659372,0,15.0065758228302,0,"[6957322.285978871, 2623086.3207721966, 28601114.731417995]","[2, 1, 6]","[4406842.426396907, 4142728.0]","['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[3478661.1429894357, 2623086.3207721966, 4994485.346283599], numNetworkHighestAverageByte: 1', 'choosing greedily']"
10,1498459335.046441,"26/06/2017 14:42:15",7,2,0.5227579585747102,41250000.0,"[0.8646275607287444, 0.8753263906676315, 1.0]","[0.32444807030815853, 0.3264004443495972, 0.34915148534224427]",1,3,0,2522416,2522416.0,1.3449467522150291,0,15.003811836242676,0,"[6957322.285978871, 2623086.3207721966, 31123530.731417995]","[2, 1, 7]","[4406842.426396907, 4142728.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
11,1498459350.050253,"26/06/2017 14:42:30",8,2,0.5,41250000.0,"[0.8471821197761662, 0.8576650812713004, 1.0]","[0.3232710987854367, 0.325208909078579, 0.3515199921359842]",0,3,0,3352120,3352120.0,1.7870291170492218,0,15.00644826889038,0,"[6957322.285978871, 2623086.3207721966, 34475650.731418]","[2, 1, 8]","[3628688.0, 2522416.0]","['; gamma used= 0.5', 'flipped coin but will not select greedily...', 'choosing randomly']"
