"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
1,1498483500.0001519,"26/06/2017 21:25:00",1,1,1.0,41250000.0,"[1, 1, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",2,2,4.327717065811157,3258000,4579305.102727372,2.44249812570354,0.0021615028381347656,14.998759031295776,0,"[0, 4579305.102727372, 0]","[0, 1, 0]","[]","['exploring after a reset', 'prob current block:0.3333333333333333']"
2,1498483515.0010724,"26/06/2017 21:25:15",2,1,0.7937005259840998,41250000.0,"[0.9156588307126866, 1.0, 0.9156588307126866]","[0.3312848714576827, 0.33743025708463464, 0.3312848714576827]",2,3,4.152032136917114,10694736,14789092.774636706,7.888872994469195,0.013040304183959961,14.997420072555542,0,"[0, 4579305.102727372, 14789092.774636706]","[0, 1, 1]","[4579305.102727372]","['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:0.5']"
3,1498483530.0115328,"26/06/2017 21:25:30",3,1,0.6933612743506348,41250000.0,"[0.8472798908282922, 0.9253226883301362, 1.0]","[0.32482618266781443, 0.33345740307854516, 0.3417164142536404]",2,1,4.656994104385376,1691840,2453791.570101253,1.308915670533046,0.015037775039672852,14.997400522232056,7400,"[2453791.570101253, 4579305.102727372, 14789092.774636706]","[1, 1, 1]","[14789092.774636706]","['; gamma used= 0.6933612743506348', 'exploring after a reset', 'prob current block:1.0']"
4,1498483545.023971,"26/06/2017 21:25:45",4,2,0.6299605249474366,41250000.0,"[0.8579298504484929, 0.9253226883301362, 1.0]","[0.3240504801687024, 0.3330105044584743, 0.34293901537282323]",-1,3,4.404897451400757,5485024,7765912.854603417,4.14245985023437,0.014938116073608398,14.997683763504028,2320,"[2453791.570101253, 4579305.102727372, 22555005.629240125]","[1, 1, 2]","[2453791.570101253]","['; gamma used= 0.6299605249474366', 'current gain: 2453791.570101253, prev block gain: [14789092.774636706]', ' ----- switch back']"
5,1498483560.036593,"26/06/2017 21:26:00",4,2,0.6299605249474366,41250000.0,"[0.8270152020837371, 0.8919796061204398, 1.0]","[0.32122154552679416, 0.33114175206936136, 0.3476367024038445]",-1,3,0,6631840,6631840.0,3.531761878763111,0,15.022167921066284,0,"[2453791.570101253, 4579305.102727372, 29186845.629240125]","[1, 1, 3]","[2453791.570101253]","['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1498483575.058761,"26/06/2017 21:26:15",5,2,0.5848035476425733,41250000.0,"[0.801498490497684, 0.8644584840265898, 1.0]","[0.3197599849354939, 0.32956538172300687, 0.35067463334149923]",0,2,4.308732509613037,2125664,2982884.4943997017,1.5915965866754402,0.016155719757080078,14.993168592453003,0,"[2453791.570101253, 7562189.597127074, 29186845.629240125]","[1, 2, 3]","[7765912.854603417, 6631840.0]","['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
7,1498483590.0680852,"26/06/2017 21:26:30",6,2,0.5848035476425733,41250000.0,"[0.801498490497684, 0.8999626672284882, 1.0]","[0.3168559329920946, 0.3332460453971048, 0.34989802161080064]",-1,3,4.224034547805786,6691960,9315611.317353686,4.9689959448207,0.0147247314453125,14.99797773361206,1480,"[2453791.570101253, 7562189.597127074, 38502456.94659381]","[1, 2, 4]","[2982884.4943997017]","['; gamma used= 0.5503212081491045', 'current gain: 2982884.4943997017, prev block gain: [7765912.854603417, 6631840.0]', ' ----- switch back']"
8,1498483605.0807877,"26/06/2017 21:26:45",6,2,0.5503212081491045,41250000.0,"[0.7705704533517911, 0.8652351173554046, 1.0]","[0.3137730409728091, 0.3309131358273026, 0.35531382319988836]",-1,3,0,7318224,7318224.0,3.8997703128192005,0,15.012625694274902,0,"[2453791.570101253, 7562189.597127074, 45820680.94659381]","[1, 2, 5]","[2982884.4943997017]","['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
9,1498483620.0934134,"26/06/2017 21:27:00",7,2,0.5227579585747102,41250000.0,"[0.7471131648723416, 0.8388960984349759, 1.0]","[0.3121306632112929, 0.3290689917791546, 0.35880034500955255]",1,3,0,9156792,9156792.0,4.879805708294713,0,15.01173210144043,0,"[2453791.570101253, 7562189.597127074, 54977472.94659381]","[1, 2, 6]","[9315611.317353686, 7318224.0]","['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[2453791.570101253, 3781094.798563537, 9164136.189318763], numNetworkHighestAverageByte: 1', 'choosing greedily']"
10,1498483635.1051455,"26/06/2017 21:27:15",7,2,0.5227579585747102,41250000.0,"[0.6938268178321673, 0.7790635178653476, 1.0]","[0.30695327942429695, 0.32418750505952676, 0.3688592155161763]",1,3,0,6588728,6588728.0,3.511661673370439,0,15.00993800163269,0,"[2453791.570101253, 7562189.597127074, 61566200.94659381]","[1, 2, 7]","[9315611.317353686, 7318224.0]","['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
