time slot,delay (secs) - 3G
1,4.4580198193
2,4.4503045082
3,4.4812988853
4,11.60074193
5,4.4801413727
6,4.6236419487
7,4.473816843
8,6.4485544968
9,4.4820940304
10,4.4268855667
11,4.4238023376
12,4.425805769
13,4.3997525787
14,6.4770962811
15,4.461284132
16,4.4791612434
17,4.4366369152
18,4.4260429955
19,4.445708952
20,4.4618420219
21,10.6106550407
22,7.658974371
23,4.4654921627
24,4.4907986259
25,4.4645890903
26,4.4589271164
27,4.4778551865
28,4.5115778351
29,4.4457096481
30,4.4761022663
31,7.5150224972
32,4.4829222775
33,13.73927495
34,4.5672187614
35,4.5262384033
36,4.5143942738
37,4.5441219521
38,7.5958058643
39,4.4478077793
40,4.4794563961
41,4.4333032417
42,13.6099302387
43,4.4896213627
44,4.5062043476
45,4.4824268532
46,13.6863291073
47,4.4960749817
48,4.448521347
49,4.4646608639
50,6.4448089218
51,4.5131587791
52,4.4561699677
53,4.4458124542
54,4.5060338783
55,10.7104034328
56,4.4912816811
57,4.4809727478
58,4.445094986
59,4.4760648727
60,4.4963571548
61,4.4930815411
62,4.493437748
63,4.4983710861
64,4.5165476608
65,4.5069913673
66,13.5993775749
67,4.4557949543
68,4.4584369469
69,4.5027129364
70,4.5139724445
71,4.4259316635
72,4.4651603508
73,4.4885723305
74,4.4797486496
75,4.4746255684
76,4.4725477505
77,4.5656759548
78,4.4964351463
79,4.4767548275
80,4.5047673512
81,4.461849165
82,4.4713315773
83,4.4574377251
84,4.5177156258
85,13.6199330997
86,4.4795941925
87,4.4896928978
88,4.4610032749
89,4.4723930073
90,4.5007166576
91,4.4332978439
92,4.4567832184
93,13.7129452038
94,13.5607668686
95,4.4193908882
96,4.4630867863
97,4.5204698849
98,4.4061221695
99,4.4886183643
100,13.6428493977
101,4.2531193161
102,4.7109915257
103,9.9489025784
104,4.4619254589
105,4.4325489712
106,4.5571105099
107,4.484652977
108,7.583732338
109,13.6684524727
110,5.2501478004
111,4.4796342659
112,4.5276353264
113,14.3172883892
114,4.528844595
115,5.7062587547
116,6.1453771496
117,13.5644993591
118,13.6603762817
119,4.4717099285
120,13.5863050079
