time slot,delay (secs) - 3G
1,7.3011417389
2,3.5206775665
3,6.835558176
4,3.710613966
5,7.3742730618
6,3.9703514576
7,7.619150877
8,6.6290106773
9,5.802929163
10,6.332767725
11,7.0229716301
12,7.6377239227
13,9.5216453075
14,6.705789566
15,7.4654424191
16,7.2488136292
17,11.1455042362
18,6.5264501572
19,4.4198908806
20,6.6496734619
21,3.6228187084
22,6.4661147594
23,5.2336885929
24,5.8858034611
25,7.4988670349
26,3.7001686096
27,6.9322838783
28,6.2646536827
29,6.4024357796
30,8.845249176
31,6.7262890339
32,7.2082276344
33,4.3016433716
34,6.7586445808
35,9.6827914715
36,6.8791582584
37,6.9241676331
38,6.6553113461
39,3.5347778797
40,6.4872248173
41,6.0020852089
42,6.1608586311
43,6.7513434887
44,3.5248060226
45,5.8535084724
46,4.8276541233
47,6.6221020222
48,4.9958612919
49,6.8312351704
50,10.465890646
51,6.4185426235
52,7.0826280117
53,7.1676003933
54,3.5244750977
55,6.0255227089
56,5.8401322365
57,6.2441954613
58,10.6923751831
59,6.0566682816
60,4.7907316685
61,6.8389046192
62,6.9416291714
63,6.788172245
64,6.6224336624
65,4.5681872368
66,6.0655436516
67,5.9752583504
68,7.7318053246
69,6.6247844696
70,5.08690238
71,6.5268421173
72,5.0177741051
73,6.8048353195
74,3.552700758
75,7.2841973305
76,6.2028503418
77,5.5048496723
78,6.701433897
79,7.2655682564
80,4.4965641499
81,6.894412756
82,8.2517719269
83,5.9895124435
84,10.1149363518
85,6.0530261993
86,7.6984183788
87,6.0668253899
88,8.1976752281
89,6.5385079384
90,4.0404672623
91,6.5910255909
92,3.6430411339
93,6.5312051773
94,3.7331066132
95,6.0301651955
96,4.3983893394
97,6.0065443516
98,6.7041592598
99,6.2622199059
100,6.9005236626
101,3.5581696033
102,6.5595264435
103,10.509937048
104,6.5590217113
105,5.1899073124
106,6.4388411045
107,3.3421525955
108,6.3993492126
109,6.5660047531
110,3.7095727921
111,6.6823692322
112,3.5272049904
113,5.7657976151
114,6.8240988255
115,6.7215435505
116,7.1175796986
117,3.5981559753
118,5.9294855595
119,5.2466256618
120,6.1345062256
121,8.6315908432
122,6.5608007908
123,3.6404693127
124,5.5092351437
125,6.7091228962
126,3.79591012
127,7.2255187035
128,12.073227644
129,6.0723121166
130,6.9112913609
131,8.260330677
132,6.3192389011
133,6.5344817638
134,6.6030373573
135,4.4164898396
136,7.4140155315
137,4.0990786552
138,6.4329221249
139,8.6651883125
140,6.1361882687
141,4.7560522556
142,6.141780138
143,11.0052638054
144,6.243737936
145,12.723897934
146,6.5889089108
147,7.1536426544
148,5.9663958549
149,5.972042799
150,6.2328023911
151,7.2807662487
152,3.5395104885
153,6.1004798412
154,6.1062242985
155,10.9631123543
156,6.125702858
157,9.6731610298
158,6.6151218414
159,3.7841000557
160,6.815018177
161,10.5346171856
162,6.5396142006
163,7.8596425056
164,5.7401444912
165,6.6717121601
166,3.6532514095
167,6.448703289
168,12.2786214352
169,5.8560991287
170,6.049280405
171,6.2756376266
172,6.0613203049
173,6.1228682995
174,6.8783237934
175,5.907844305
176,7.6513075829
177,4.5337252617
178,5.8245508671
179,5.0676562786
180,5.8236935139
181,7.4479115009
182,6.111726284
