"timestamp","date time","EcIo","RSCP"
1494491570.174985,"11/05/2017 16:32:50"," 134d3"," -7"," -94"
1494491571.6849496,"11/05/2017 16:32:51"," 134d3"," -8"," -95"
1494491573.1949053,"11/05/2017 16:32:53"," 134d3"," -9"," -95"
1494491574.7061205,"11/05/2017 16:32:54"," 134d3"," -10"," -89"
1494491576.2204146,"11/05/2017 16:32:56"," 134d3"," -13"," -92"
1494491577.7255127,"11/05/2017 16:32:57"," 134d3"," -13"," -89"
1494491579.227727,"11/05/2017 16:32:59"," 134d3"," -13"," -90"
1494491580.743187,"11/05/2017 16:33:00"," 134d3"," -12"," -88"
1494491582.250229,"11/05/2017 16:33:02"," 134d3"," -13"," -90"
1494491583.75449,"11/05/2017 16:33:03"," 134d3"," -13"," -92"
1494491585.2775404,"11/05/2017 16:33:05"," 134d3"," -13"," -93"
1494491586.7949727,"11/05/2017 16:33:06"," 134d3"," -13"," -95"
1494491588.3204541,"11/05/2017 16:33:08"," 134d3"," -13"," -93"
1494491589.8372777,"11/05/2017 16:33:09"," 134d3"," -9"," -94"
1494491591.3557637,"11/05/2017 16:33:11"," 134d3"," -7"," -92"
1494491592.8688724,"11/05/2017 16:33:12"," 134d3"," -6"," -89"
1494491594.3959403,"11/05/2017 16:33:14"," 134d3"," -7"," -91"
1494491595.9164896,"11/05/2017 16:33:15"," fffff"," -11"," -96"
1494491597.4435189,"11/05/2017 16:33:17"," 134d3"," -10"," -95"
1494491598.965708,"11/05/2017 16:33:18"," 134d3"," -8"," -93"
1494491600.4837532,"11/05/2017 16:33:20"," 134d3"," -11"," -94"
1494491602.001154,"11/05/2017 16:33:22"," 134d3"," -15"," -97"
1494491603.5215387,"11/05/2017 16:33:23"," 134d3"," -11"," -97"
1494491605.0461974,"11/05/2017 16:33:25"," 134d3"," -11"," -96"
1494491606.5689514,"11/05/2017 16:33:26"," 134d3"," -8"," -93"
1494491608.08049,"11/05/2017 16:33:28"," 134d3"," -13"," -96"
1494491609.5859888,"11/05/2017 16:33:29"," 134d3"," -13"," -94"
1494491611.1019342,"11/05/2017 16:33:31"," 134d3"," -9"," -93"
1494491612.6175141,"11/05/2017 16:33:32"," 134d3"," -13"," -95"
1494491614.1244001,"11/05/2017 16:33:34"," 134d3"," -13"," -93"
1494491615.6474643,"11/05/2017 16:33:35"," 134d3"," -6"," -92"
1494491617.1552324,"11/05/2017 16:33:37"," 134d3"," -13"," -95"
1494491618.6602046,"11/05/2017 16:33:38"," 134d3"," -12"," -95"
1494491620.1727545,"11/05/2017 16:33:40"," 134d3"," -12"," -90"
1494491621.6855314,"11/05/2017 16:33:41"," 134d3"," -12"," -89"
1494491623.19025,"11/05/2017 16:33:43"," 134d3"," -12"," -90"
1494491624.7027862,"11/05/2017 16:33:44"," 134d3"," -13"," -92"
1494491626.216732,"11/05/2017 16:33:46"," 134d3"," -7"," -92"
1494491627.7310154,"11/05/2017 16:33:47"," 134d3"," -13"," -93"
1494491629.244297,"11/05/2017 16:33:49"," 134d3"," -13"," -93"
1494491630.758743,"11/05/2017 16:33:50"," 134d3"," -13"," -94"
1494491632.26986,"11/05/2017 16:33:52"," 134d3"," -13"," -92"
1494491633.7780416,"11/05/2017 16:33:53"," 134d3"," -13"," -91"
1494491635.2903202,"11/05/2017 16:33:55"," 134d3"," -13"," -91"
1494491636.8042996,"11/05/2017 16:33:56"," 134d3"," -13"," -91"
1494491638.3153443,"11/05/2017 16:33:58"," 134d3"," -13"," -92"
