time slot,timestamp,date time,max gain,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495440352.74175,22/05/2017 16:05:52,120000000,Cellular,1.9355473518,5417204,6219616.33847694,3.3171287139,0.0005538464,15.0003499985,0,['']
2,1495440367.74266,22/05/2017 16:06:07,120000000,WiFi,4.0927550793,5908969,8126369.45659653,4.3340637102,0.0102622509,14.9997825623,0,['<wifi_mac_address>']
3,1495440382.7527,22/05/2017 16:06:22,120000000,WiFi,0,8621392,8618542.7855829,4.5965561523,0,15.004958868,0,"['averageBytePerNet:[8126369.456596528, 6219616.338476938], numNetworkHighestAverageByte: 1']"
4,1495440397.75766,22/05/2017 16:06:37,120000000,WiFi,0,9071720,9069949.39048745,4.8373063416,0,15.002928257,0,"['averageBytePerNet:[8372456.1210897155, 6219616.338476938], numNetworkHighestAverageByte: 1']"
5,1495440412.76059,22/05/2017 16:06:52,120000000,WiFi,0,8066808,8065737.51793234,4.3017266762,0,15.0019907951,0,"['averageBytePerNet:[8604953.877555626, 6219616.338476938], numNetworkHighestAverageByte: 1']"
6,1495440427.76258,22/05/2017 16:07:07,120000000,WiFi,0,9008008,9005785.98945245,4.803085861,0,15.0037009716,0,"['averageBytePerNet:[8470149.787649805, 6219616.338476938], numNetworkHighestAverageByte: 1']"
7,1495440442.76628,22/05/2017 16:07:22,120000000,WiFi,0,9074616,9073590.44563454,4.8392482377,0,15.0016953945,0,"['averageBytePerNet:[8577277.028010335, 6219616.338476938], numNetworkHighestAverageByte: 1']"
8,1495440457.76798,22/05/2017 16:07:37,120000000,WiFi,0,9074616,9073289.64494221,4.8390878106,0,15.0021927357,0,"['averageBytePerNet:[8659995.930947702, 6219616.338476938], numNetworkHighestAverageByte: 1']"
9,1495440472.77017,22/05/2017 16:07:52,120000000,WiFi,0,7953864,7952620.94792427,4.2413978389,0,15.0023446083,0,"['averageBytePerNet:[8719037.890089775, 6219616.338476938], numNetworkHighestAverageByte: 1']"
10,1495440487.77251,22/05/2017 16:08:07,120000000,WiFi,0,8382472,8379685.63348242,4.4691656712,0,15.0049877167,0,"['averageBytePerNet:[8623235.772319086, 6219616.338476938], numNetworkHighestAverageByte: 1']"
11,1495440502.7775,22/05/2017 16:08:22,120000000,WiFi,0,9077512,9076122.47726153,4.8405986545,0,15.0022964478,0,"['averageBytePerNet:[8596174.645781677, 6219616.338476938], numNetworkHighestAverageByte: 1']"
