"timestamp","date time","EcIo","RSCP"
1494236696.0226097,"08/05/2017 17:44:56"," 134d3"," -13"," -87"
1494236697.5322573,"08/05/2017 17:44:57"," 134d3"," -10"," -88"
1494236699.0430927,"08/05/2017 17:44:59"," 134d3"," -13"," -87"
1494236700.5540516,"08/05/2017 17:45:00"," 134d3"," -6"," -88"
1494236702.06414,"08/05/2017 17:45:02"," 134d3"," -4"," -88"
1494236703.5756385,"08/05/2017 17:45:03"," 134d3"," -13"," -88"
1494236705.0821357,"08/05/2017 17:45:05"," 134d3"," -13"," -88"
1494236706.592044,"08/05/2017 17:45:06"," 134d3"," -7"," -88"
1494236708.1019573,"08/05/2017 17:45:08"," 134d3"," -4"," -88"
1494236709.6085799,"08/05/2017 17:45:09"," 134d3"," -7"," -87"
1494236711.1201344,"08/05/2017 17:45:11"," 134d3"," -5"," -88"
1494236712.6236453,"08/05/2017 17:45:12"," 134d3"," -13"," -88"
1494236714.1412237,"08/05/2017 17:45:14"," 134d3"," -12"," -88"
1494236715.6568298,"08/05/2017 17:45:15"," 134d3"," -5"," -87"
1494236717.1731946,"08/05/2017 17:45:17"," 134d3"," -13"," -88"
1494236718.6901078,"08/05/2017 17:45:18"," 134d3"," -8"," -89"
1494236720.2005625,"08/05/2017 17:45:20"," 134d3"," -8"," -88"
1494236721.7134755,"08/05/2017 17:45:21"," 134d3"," -13"," -88"
1494236723.2250683,"08/05/2017 17:45:23"," 134d3"," -12"," -86"
1494236724.7377827,"08/05/2017 17:45:24"," 134d3"," -12"," -85"
1494236726.2473483,"08/05/2017 17:45:26"," 134d3"," -13"," -87"
1494236727.7578218,"08/05/2017 17:45:27"," 134d3"," -13"," -89"
1494236729.271174,"08/05/2017 17:45:29"," 134d3"," -12"," -89"
1494236730.7830987,"08/05/2017 17:45:30"," 134d3"," -13"," -92"
1494236732.300219,"08/05/2017 17:45:32"," 134d3"," -13"," -93"
1494236733.806708,"08/05/2017 17:45:33"," 134d3"," -13"," -92"
1494236735.3100553,"08/05/2017 17:45:35"," 134d3"," -13"," -94"
1494236736.816698,"08/05/2017 17:45:36"," 134d3"," -10"," -95"
1494236738.3428702,"08/05/2017 17:45:38"," 134d3"," -15"," -98"
1494236739.8563743,"08/05/2017 17:45:39"," 134d3"," -11"," -97"
1494236741.3584294,"08/05/2017 17:45:41"," 134d3"," -9"," -96"
1494236742.8623784,"08/05/2017 17:45:42"," 134d3"," -14"," -97"
1494236744.3761091,"08/05/2017 17:45:44"," 134d3"," -8"," -97"
1494236745.8927958,"08/05/2017 17:45:45"," 134d3"," -9"," -97"
1494236747.407806,"08/05/2017 17:45:47"," 134d3"," -24"," -104"
