time slot,timestamp,date time,block index,block length,gamma,max gain,weight,probability,selection type,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1494236703.18051,08/05/17 05:45 PM,1,1,1,120000000,"[1, 1]","[0.5, 0.5]",2,WiFi,3.5216200352,4387184,5733246.63530519,3.0577315388,0.0007953644,14.9998912811,0,"['exploring after a reset', 'E4:8D:8C:6B:CD:D9']"
2,1494236718.18119,08/05/17 05:45 PM,2,1,0.793700526,120000000,"[1.0, 0.9627893121669444]","[0.5019555194437182, 0.49804448055628187]",0,Cellular,2.2505218983,10386808,12220423.787983,6.5175593536,0.0048651695,14.9998440742,0,"['; gamma used= 0.7937005259840998', 'exploring after a reset', '']"
3,1494236733.1859,08/05/17 05:45 PM,3,2,0.6933612744,120000000,"[1.0, 0.9973876135304336]","[0.5002005266410248, 0.49979947335897523]",2,WiFi,3.9630434513,6226080,8523352.26307095,4.5457878736,0.0844969749,14.9201407433,51356,"['; gamma used= 0.6933612743506348', 'current gain: 12220423.787982963, prev block gain: [5733246.635305193]', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
4,1494236748.19054,08/05/17 05:45 PM,4,2,0.6933612744,120000000,"[1.0, 0.9537605237177667]","[0.5043788456472711, 0.4956211543527289]",0,Cellular,2.4169597626,11628652,13862577.9345251,7.3933748984,0.0056283474,14.9997406006,0,"['; gamma used= 0.6299605249474366', 'current gain: 8523352.263070948, prev block gain: [12220423.787982963]', ' ----- switch back', '']"
5,1494236763.19591,08/05/17 05:46 PM,4,2,0.6299605249,120000000,"[1.0, 0.9865276002874402]","[0.5014079070848516, 0.49859209291514833]",-1,Cellular,0,8256228,8251049.66455579,4.4005598211,0,15.0094139576,0,"['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1494236778.20532,08/05/17 05:46 PM,5,2,0.5848035476,120000000,"[0.9934801433746656, 1.0]","[0.49932103127545197, 0.5006789687245481]",-1,Cellular,0,4213100,4212262.76382031,2.2465401407,0,15.0029814243,0,"['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[7128299.44918807, 11444683.79568795], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1494236793.20831,08/05/17 05:46 PM,5,2,0.5848035476,120000000,"[0.9744727892830295, 1.0]","[0.4970931366244103, 0.5029068633755897]",1,Cellular,0,8180524,8179340.54521651,4.3623149574,0,15.0021703243,0,"['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1494236808.21048,08/05/17 05:46 PM,6,2,0.5503212081,120000000,"[0.9385968597886852, 1.0]","[0.492878434274085, 0.507121565725915]",1,Cellular,0,8255476,8251577.93335601,4.4008415645,0,15.0070860386,0,"['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly']"
9,1494236823.21756,08/05/17 05:47 PM,6,2,0.5503212081,120000000,"[0.9059139962344884, 1.0]","[0.4882204032828048, 0.5117795967171952]",0,Cellular,0,8273520,8269761.34976393,4.4105393865,0,15.0068175793,0,"['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
10,1494236838.22438,08/05/17 05:47 PM,7,2,0.5227579586,120000000,"[0.8743008962089777, 1.0]","[0.4839969940205726, 0.5160030059794274]",0,WiFi,4.3217933178,622320,874309.367403622,0.4662983293,0.0073525906,14.9985632896,0,"['; gamma used= 0.5227579585747102', 'flipped coin but will not select greedily...', 'choosing randomly', 'E4:8D:8C:6B:CD:D9']"
11,1494236853.2303,08/05/17 05:47 PM,8,2,0.5227579586,120000000,"[0.8775974458740742, 1.0]","[0.4837022368140067, 0.5162977631859933]",0,Cellular,1.5201292038,10891704,12120649.1273735,6.4643462013,0.0066304207,14.9992389679,0,"['; gamma used= 0.5', 'current gain: 874309.3674036216, prev block gain: [8251577.93335601, 8269761.349763926]', ' ----- switch back', '']"
12,1494236868.23617,08/05/17 05:47 PM,8,2,0.5,120000000,"[0.856546691477038, 1.0]","[0.47993905799960573, 0.5200609420003942]",-1,Cellular,0,16616672,16613899.7844757,8.8607465517,0,15.0025029182,0,"['; gamma used= 0.4807498567691362', 'no selection ----- in the middle of a block']"
13,1494236883.23867,08/05/17 05:48 PM,9,2,0.4807498568,120000000,"[0.8285101786793178, 1.0]","[0.4756506375185412, 0.5243493624814588]",-1,Cellular,0,7803740,7801700.8667842,4.160907129,0,15.0039205551,0,"['; gamma used= 0.4807498567691362', 'flipped coin and will select greedily...', 'averageBytePerNet:[5043636.088593254, 10220171.432341091], numNetworkHighestAverageByte: 1', 'choosing greedily']"
14,1494236898.24259,08/05/17 05:48 PM,9,2,0.4807498568,120000000,"[0.8038817780234889, 1.0]","[0.4708716479268837, 0.5291283520731163]",1,Cellular,0,8434024,8428643.24191843,4.4952763957,0,15.0095758438,0,"['; gamma used= 0.4641588833612779', 'no selection ----- in the middle of a block']"
15,1494236913.25216,08/05/17 05:48 PM,10,2,0.4641588834,120000000,"[0.7780963054782916, 1.0]","[0.4665639248300485, 0.5334360751699514]",1,Cellular,0,7813324,7810483.8267716,4.1655913743,0,15.0054545403,0,"['; gamma used= 0.4641588833612779', 'flipped coin but will not select greedily...', 'choosing randomly']"
16,1494236928.25762,08/05/17 05:48 PM,10,2,0.4641588834,120000000,"[0.7570418671359384, 1.0]","[0.46194928743015556, 0.5380507125698445]",0,Cellular,0,5880088,5878243.83583781,3.1350633791,0,15.0047059059,0,"['; gamma used= 0.4496443130226092', 'no selection ----- in the middle of a block']"
17,1494236943.26232,08/05/17 05:49 PM,11,2,0.449644313,120000000,"[0.7415726762227111, 1.0]","[0.4591670938419711, 0.5408329061580289]",0,Cellular,0,9590732,9589641.25927398,5.1144753383,0,15.0017061234,0,"['; gamma used= 0.4496443130226092', 'flipped coin and will select greedily...', 'averageBytePerNet:[5043636.088593254, 9376970.358644757], numNetworkHighestAverageByte: 1', 'choosing greedily']"
18,1494236958.26403,08/05/17 05:49 PM,11,2,0.449644313,120000000,"[0.7161342544485515, 1.0]","[0.4534197396922054, 0.5465802603077947]",1,Cellular,0,5826592,5824292.53859764,3.1062893539,0,15.0059220791,0,"['; gamma used= 0.43679023236814946', 'no selection ----- in the middle of a block']"
19,1494236973.26995,08/05/17 05:49 PM,12,2,0.4367902324,120000000,"[0.7011120412314048, 1.0]","[0.45052159595432567, 0.5494784040456744]",1,WiFi,4.4585294724,544127,778860.937689256,0.4153925001,0.0677230358,14.9378135204,0,"['; gamma used= 0.43679023236814946', 'flipped coin but will not select greedily...', 'choosing randomly', 'E4:8D:8C:6B:CD:D9']"
