time slot,timestamp,date time,block index,block length,gamma,max gain,weight,probability,selection type,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1494490873.81117,11/05/17 04:21 PM,1,1,1,120000000,"[1, 1]","[0.5, 0.5]",2,WiFi,3.4855933189,6968968,9078617.72824822,4.8419294551,0.000549078,14.9999585152,0,"['exploring after a reset', 'prob current block:0.5', '<wifi_mac_address>']"
2,1494490888.81167,11/05/17 04:21 PM,2,1,0.793700526,120000000,"[1.0, 0.94171977206084]","[0.5030960132719395, 0.49690398672806046]",2,Cellular,2.4745783806,8195156,9814021.29256231,5.2341446894,0.0028662682,15.0002634525,2896,"['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:1.0', '']"
3,1494490903.8148,11/05/17 04:21 PM,3,2,0.6933612744,120000000,"[1.0, 0.9688022435660186]","[0.502429507663174, 0.49757049233682604]",2,Cellular,0,8824284,8821516.31140024,4.7048086994,0,15.0047061443,0,"['; gamma used= 0.6933612743506348', 'current gain: 9814021.292562313, prev block gain: [9078617.728248214]', 'flipped coin and will select greedily...', 'averageBytePerNet:[9078617.728248214, 9814021.292562313], numNetworkHighestAverageByte: 1', 'choosing greedily']"
4,1494490918.81951,11/05/17 04:21 PM,3,2,0.6933612744,120000000,"[0.9854909971005047, 1.0]","[0.49864796571117526, 0.5013520342888247]",1,Cellular,0,10480596,10477813.943161,5.5881674364,0,15.0039827824,0,"['; gamma used= 0.6299605249474366', 'no selection ----- in the middle of a block']"
5,1494490933.82349,11/05/17 04:22 PM,4,2,0.6299605249,120000000,"[0.9327478571536684, 1.0]","[0.49356202943314453, 0.5064379705668555]",1,Cellular,0,9530296,9526842.1453995,5.0809824775,0,15.0054380894,0,"['; gamma used= 0.6299605249474366', 'flipped coin and will select greedily...', 'averageBytePerNet:[9078617.728248214, 9704450.515707852], numNetworkHighestAverageByte: 1', 'choosing greedily']"
6,1494490948.82893,11/05/17 04:22 PM,4,2,0.6299605249,120000000,"[0.8904323717549244, 1.0]","[0.4879678079945432, 0.5120321920054568]",1,Cellular,0,11313124,11309091.5971381,6.0315155185,0,15.005348444,0,"['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
7,1494490963.83428,11/05/17 04:22 PM,5,2,0.5848035476,120000000,"[0.8426855272169667, 1.0]","[0.4822768426735725, 0.5177231573264275]",1,Cellular,0,10397428,10394210.0100375,5.543578672,0,15.0046439171,0,"['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly']"
8,1494490978.83892,11/05/17 04:22 PM,5,2,0.5848035476,120000000,"[0.804770954280729, 1.0]","[0.4756782540174931, 0.5243217459825069]",0,Cellular,0,10974820,10969424.6059222,5.8503597898,0,15.0073778629,0,"['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
9,1494490993.8463,11/05/17 04:23 PM,6,2,0.5503212081,120000000,"[0.7666067302156633, 1.0]","[0.4702955949992508, 0.5297044050007491]",0,Cellular,0,10516528,10510456.5672025,5.6055768358,0,15.0086648464,0,"['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[9078617.728248214, 10187559.98651727], numNetworkHighestAverageByte: 1', 'choosing greedily']"
10,1494491008.85497,11/05/17 04:23 PM,6,2,0.5503212081,120000000,"[0.7322976512663575, 1.0]","[0.463124462095012, 0.536875537904988]",1,Cellular,0,11543532,11537550.7334264,6.1533603912,0,15.0077762604,0,"['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
11,1494491023.86274,11/05/17 04:23 PM,7,2,0.5227579586,120000000,"[0.6964011353141016, 1.0]","[0.45729484644259244, 0.5427051535574076]",1,Cellular,0,12569264,12565895.5614598,6.7018109661,0,15.0040209293,0,"['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[9078617.728248214, 10373436.35624998], numNetworkHighestAverageByte: 1', 'choosing greedily']"
12,1494491038.86676,11/05/17 04:23 PM,7,2,0.5227579586,120000000,"[0.6608771316067341, 1.0]","[0.44895425104908304, 0.5510457489509171]",1,Cellular,0,9592756,9587665.50300753,5.1134216016,0,15.0079641342,0,"['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
