time slot,timestamp,date time,block index,block length,gamma,max gain,weight,probability,selection type,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495438428.31901,22/05/2017 15:33:48,1,1,1,120000000,"[1, 1]","[0.5, 0.5]",2,WiFi,3.5203995705,5859800,7656805.1678191,4.0836294228,0.0005075932,14.9999916553,0,"['exploring after a reset', 'prob current block:0.5', '<wifi_mac_address>']"
2,1495438443.3195,22/05/2017 15:34:03,2,1,0.793700526,120000000,"[1.0, 0.9506175822004582]","[0.5026113695761387, 0.49738863042386133]",2,Cellular,1.7310376167,7377740,8340155.76769451,4.4480830761,0.0038278103,15.0001063347,2896,"['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:1.0', '']"
3,1495438458.32344,22/05/2017 15:34:18,3,2,0.6933612744,120000000,"[1.0, 0.9738006528897387]","[0.5020350926520807, 0.4979649073479193]",0,WiFi,4.0177612305,6078384,8334033.71950813,4.4448179837,0.0469231606,14.9579329491,0,"['; gamma used= 0.6933612743506348', 'current gain: 8340155.767694506, prev block gain: [7656805.167819102]', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
4,1495438473.32829,22/05/2017 15:34:33,4,2,0.6933612744,120000000,"[1.0, 0.9322798438772695]","[0.5064843431197444, 0.49351565688025556]",-1,Cellular,0.8558967113,13513928,14332091.7070727,7.6437822438,0.0057406425,14.999604702,5792,"['; gamma used= 0.6299605249474366', 'current gain: 8334033.719508126, prev block gain: [8340155.767694506]', ' ----- switch back', '']"
5,1495438488.33364,22/05/2017 15:34:48,4,2,0.6299605249,120000000,"[1.0, 0.9654127916748603]","[0.5036533002772684, 0.4963466997227316]",-1,Cellular,0,9007772,9004528.25755899,4.8024150707,0,15.0054035187,0,"['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
6,1495438503.33904,22/05/2017 15:35:03,5,2,0.5848035476,120000000,"[1.0, 0.9868291658680023]","[0.5013761836448088, 0.49862381635519115]",1,Cellular,0,11921184,11916546.3352525,6.3554913788,0,15.0058376789,0,"['; gamma used= 0.5848035476425733', 'flipped coin and will select greedily...', 'averageBytePerNet:[7995419.443663614, 10558925.24410872], numNetworkHighestAverageByte: 1', 'choosing greedily']"
7,1495438518.34488,22/05/2017 15:35:18,5,2,0.5848035476,120000000,"[0.9594538499491979, 1.0]","[0.49534749344325646, 0.5046525065567434]",1,Cellular,0,16650028,16647900.5255295,8.8788802803,0,15.0019168854,0,"['; gamma used= 0.5503212081491045', 'no selection ----- in the middle of a block']"
8,1495438533.3468,22/05/2017 15:35:33,6,2,0.5503212081,120000000,"[0.8889284751258839, 1.0]","[0.4867791423094777, 0.5132208576905223]",0,WiFi,2.7095022202,7433712,9073130.49033606,4.8390029282,0.0051867962,14.9991612434,8328,"['; gamma used= 0.5503212081491045', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
9,1495438548.35115,22/05/2017 15:35:48,7,2,0.5503212081,120000000,"[0.9257606359096405, 1.0]","[0.4908009996123265, 0.5091990003876736]",-1,Cellular,1.9113202095,7244492,8302372.33400161,4.4279319115,0.0027523041,15.0000345707,0,"['; gamma used= 0.5227579585747102', 'current gain: 9073130.490336059, prev block gain: [11916546.335252466, 16647900.52552946]', ' ----- switch back', '']"
10,1495438563.35393,22/05/2017 15:36:03,7,2,0.5227579586,120000000,"[0.9098858023052527, 1.0]","[0.4882042426848272, 0.5117957573151728]",-1,Cellular,0,7254092,7251117.54001057,3.867262688,0,15.0061531067,0,"['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
11,1495438578.36009,22/05/2017 15:36:18,8,2,0.5,120000000,"[0.8962439170598772, 1.0]","[0.486320841690425, 0.513679158309575]",0,WiFi,1.0166466236,8460344,9076955.88784815,4.8410431402,0.006349802,14.9976730347,0,"['; gamma used= 0.5', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
12,1495438593.36411,22/05/2017 15:36:33,8,2,0.5,120000000,"[0.9303864196115272, 1.0]","[0.4906374026411764, 0.5093625973588236]",0,WiFi,0,9042760,9041563.74309862,4.8221673297,0,15.0019845963,0,"['; gamma used= 0.4807498567691362', 'current gain: 9076955.887848154, prev block gain: [8302372.334001608, 7251117.54001057]', 'no selection ----- in the middle of a block']"
