time slot,timestamp,date time,block index,block length,gamma,max gain,weight,probability,selection type,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495450160.44085,22/05/2017 18:49:20,1,1,1,120000000,"[1, 1]","[0.5, 0.5]",2,Cellular,2.0583078861,8948840,10371870.9802585,5.5316645228,0.0004580021,15.0002930164,0,"['exploring after a reset', 'prob current block:0.5', '']"
2,1495450175.4416,22/05/2017 18:49:35,2,1,0.793700526,120000000,"[0.9336988447539382, 1.0]","[0.49646328240537124, 0.5035367175946288]",2,WiFi,4.0479228497,5991505,8206242.43073409,4.3766626297,0.0089373589,14.9996557236,0,"['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:1.0', '<wifi_mac_address>']"
3,1495450190.45019,22/05/2017 18:49:50,3,2,0.6933612744,120000000,"[0.9560993480126861, 1.0]","[0.4965590602557476, 0.5034409397442524]",-1,Cellular,1.6544971466,8151448,9162129.31243292,4.8864689666,0.0046989918,14.999835968,0,"['; gamma used= 0.6933612743506348', 'current gain: 8206242.430734089, prev block gain: [10371870.980258506]', ' ----- switch back', '']"
4,1495450205.45473,22/05/2017 18:50:05,3,2,0.6933612744,120000000,"[0.9333803168437703, 1.0]","[0.49362466029871876, 0.5063753397012811]",-1,Cellular,0,5214484,5211857.79843512,2.7796574925,0,15.0075583458,0,"['; gamma used= 0.6299605249474366', 'no selection ----- in the middle of a block']"
5,1495450220.46228,22/05/2017 18:50:20,4,2,0.6299605249,120000000,"[0.9206983666171716, 1.0]","[0.49236092056467046, 0.5076390794353296]",0,Cellular,0,5253348,5251290.70494309,2.800688376,0,15.0058765411,0,"['; gamma used= 0.6299605249474366', 'flipped coin but will not select greedily...', 'choosing randomly']"
6,1495450235.46816,22/05/2017 18:50:35,4,2,0.6299605249,120000000,"[0.8977809767572185, 1.0]","[0.4888182629255869, 0.5111817370744132]",0,Cellular,0,6467096,6464692.90327757,3.4478362151,0,15.0055758953,0,"['; gamma used= 0.5848035476425733', 'no selection ----- in the middle of a block']"
7,1495450250.47374,22/05/2017 18:50:50,5,2,0.5848035476,120000000,"[0.8703500045790988, 1.0]","[0.48560958697165646, 0.5143904130283435]",0,WiFi,2.8541483879,7354072,9083337.61158965,4.8444467262,0.0080456734,14.9984817505,0,"['; gamma used= 0.5848035476425733', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
8,1495450265.48026,22/05/2017 18:51:05,5,2,0.5848035476,120000000,"[0.9084920549837165, 1.0]","[0.4892194515423247, 0.5107805484576753]",0,WiFi,0,9073168,9072024.67032224,4.8384131575,0,15.0018904209,0,"['; gamma used= 0.5503212081491045', 'current gain: 9083337.611589652, prev block gain: [5251290.7049430935, 6464692.903277573]', 'no selection ----- in the middle of a block']"
9,1495450280.48216,22/05/2017 18:51:20,6,2,0.5503212081,120000000,"[0.9482549793360993, 1.0]","[0.49402833853288247, 0.5059716614671175]",1,WiFi,0,8531616,8529389.38200871,4.5490076704,0,15.0039157867,0,"['; gamma used= 0.5503212081491045', 'flipped coin and will select greedily...', 'averageBytePerNet:[8787201.570881994, 7292368.339869442], numNetworkHighestAverageByte: 1', 'choosing greedily']"
10,1495450295.48607,22/05/2017 18:51:35,6,2,0.5503212081,120000000,"[0.984151796422385, 1.0]","[0.498094039719657, 0.501905960280343]",1,WiFi,0,8496864,8495061.41138074,4.5306994194,0,15.003182888,0,"['; gamma used= 0.5227579585747102', 'no selection ----- in the middle of a block']"
11,1495450310.48925,22/05/2017 18:51:50,7,2,0.5227579586,120000000,"[1.0, 0.979187585503459]","[0.502509251587386, 0.497490748412614]",1,WiFi,0,9067376,9066378.35275688,4.8354017881,0,15.0016505718,0,"['; gamma used= 0.5227579585747102', 'flipped coin and will select greedily...', 'averageBytePerNet:[8677211.101207087, 7292368.339869442], numNetworkHighestAverageByte: 1', 'choosing greedily']"
12,1495450325.4909,22/05/2017 18:52:05,7,2,0.5227579586,120000000,"[1.0, 0.9428871997791198]","[0.5073489598659373, 0.4926510401340627]",1,WiFi,0,8072600,8071670.88215306,4.3048911371,0,15.0017266273,0,"['; gamma used= 0.5', 'no selection ----- in the middle of a block']"
13,1495450340.49263,22/05/2017 18:52:20,8,2,0.5,120000000,"[1.0, 0.9117033791355887]","[0.5115468515968644, 0.4884531484031356]",1,WiFi,0,8670624,8668605.46772222,4.6232562495,0,15.0034928322,0,"['; gamma used= 0.5', 'flipped coin and will select greedily...', 'averageBytePerNet:[8646300.67727791, 7292368.339869442], numNetworkHighestAverageByte: 1', 'choosing greedily']"
14,1495450355.49612,22/05/2017 18:52:35,8,2,0.5,120000000,"[1.0, 0.8805846877018398]","[0.51648594142563, 0.48351405857437013]",1,WiFi,0,9076064,9074549.23273401,4.8397595908,0,15.0025038719,0,"['; gamma used= 0.4807498567691362', 'no selection ----- in the middle of a block']"
15,1495450370.49863,22/05/2017 18:52:50,9,2,0.4807498568,120000000,"[1.0, 0.849146054437355]","[0.5211802990500332, 0.47881970094996684]",1,WiFi,0,9032624,9031604.62667125,4.8168558009,0,15.0016930103,0,"['; gamma used= 0.4807498567691362', 'flipped coin and will select greedily...', 'averageBytePerNet:[8696362.160155734, 7292368.339869442], numNetworkHighestAverageByte: 1', 'choosing greedily']"
16,1495450385.50032,22/05/2017 18:53:05,9,2,0.4807498568,120000000,"[1.0, 0.8199940138109669]","[0.5264986060144272, 0.47350139398557267]",1,WiFi,0,8751712,8751033.36071893,4.6672177924,0,15.0011632442,0,"['; gamma used= 0.4641588833612779', 'no selection ----- in the middle of a block']"
17,1495450400.50148,22/05/2017 18:53:20,10,2,0.4641588834,120000000,"[1.0, 0.792702603667015]","[0.5309807293468958, 0.46901927065310417]",1,WiFi,0,8242016,8240571.54861962,4.3949714926,0,15.0026292801,0,"['; gamma used= 0.4641588833612779', 'flipped coin and will select greedily...', 'averageBytePerNet:[8731808.857162891, 7292368.339869442], numNetworkHighestAverageByte: 1', 'choosing greedily']"
18,1495450415.50411,22/05/2017 18:53:35,10,2,0.4641588834,120000000,"[1.0, 0.7685997913160608]","[0.5360037418986109, 0.46399625810138917]",1,WiFi,0,9060136,9058836.66734813,4.8313795559,0,15.0021514893,0,"['; gamma used= 0.4496443130226092', 'no selection ----- in the middle of a block']"
