time slot,WiFi bit rate (Mbps),Cellular bit rate (Mbps)
1,0.2771467368,2.8323230769
2,0.7249166749,3.2602393846
3,2.8769772215,4.9340652308
4,2.1217548346,3.5514514286
5,0.0247057308,4.0984221538
6,2.8866959236,3.21408
7,3.1613160386,2.8463064615
8,4.3465083998,2.4098953846
9,2.6976825401,3.5100356923
10,2.8064059073,3.1688045714
11,1.6755145872,1.8245710769
12,2.9679162648,1.2751556923
13,2.0357801133,2.1258633846
14,2.3848227444,2.3397577143
15,2.2590693175,1.5242092308
16,4.1178788273,3.4622523077
17,4.3412989218,2.881472
18,4.1706883403,2.79552
19,4.835288286,3.2427731429
20,4.8438944417,3.9961273846
21,4.8369617567,3.3425329231
22,4.8399118065,3.1958646154
23,4.8400901857,4.0068297143
24,4.8399288055,2.4980283077
25,4.8354730275,4.0652525714
26,4.3397224532,3.2264467692
27,4.8398283521,2.1320467692
28,4.6422544757,1.8476110769
29,4.8352506325,2.9112137143
30,4.8368426062,1.9787421538
31,4.8368419912,1.5724406154
32,4.8383956256,2.7993234286
33,4.8339431614,1.3531175385
34,4.3102857638,1.9007803077
35,4.8398467349,2.2605390769
36,4.8460646891,5.0456868571
37,4.8369938131,3.9419766154
38,4.8384928987,4.4980578462
39,4.8399528041,3.1643963077
40,4.8369681372,2.4537206154
41,4.840050955,2.3010834286
42,4.3289191871,2.1116849231
43,4.8355250558,1.0721754074
44,4.8307717689,3.1265754074
45,4.837200119,3.1790554074
46,4.8414732257,1.5144172308
47,4.8384260759,1.6703620741
48,4.8369297008,1.8384687407
49,4.8317422811,2.5600590769
50,4.1631135714,3.8446364444
51,4.1513420292,3.6385083077
52,4.1926279785,5.0722658462
53,4.8324324869,3.0117831111
54,4.8267504677,3.7859938462
55,4.8367127003,3.6842097778
56,4.8322593026,4.5196041481
57,4.8476841204,3.7138313846
58,4.2946018597,3.8205538462
59,4.8383788627,4.51264
60,4.8399784184,4.4807581538
61,4.8335354015,5.0436578462
62,4.8400248785,6.2045390769
63,4.8355370447,6.3399089231
64,4.8400928011,6.6005333333
65,4.8397688973,6.501101037
66,4.2792296594,6.9141956923
67,4.8396429165,5.5597292308
68,4.8366394488,5.1472877037
69,4.8385754879,4.8661821538
70,4.8198921235,3.8115514074
71,4.8369209374,4.7196873846
72,4.8386337788,5.3244873846
73,4.8401159553,4.6788847407
74,4.3419243424,3.8486595556
75,4.8387577351,3.458176
76,4.8391175999,3.04128
77,4.8386135537,2.6333677037
78,4.8353715101,3.0948923077
79,4.8363277895,4.4334276923
80,4.8416661927,4.2867692308
81,4.8400771088,3.6829382857
82,4.3149351401,4.0761243077
83,4.8338396017,3.2608516923
84,4.8386687694,3.9849899259
85,4.8398592722,6.729832
86,4.8361683246,5.4498264615
87,4.8323522292,4.8336184615
88,4.8398435044,7.1126547692
89,4.8368333819,5.2557723077
90,4.3288033313,3.3668627692
91,4.8383788627,3.634908
92,4.8401468791,3.6438098462
93,4.8385757186,4.1937563077
94,4.8392804698,3.0155224615
95,4.8385120463,4.3950297143
96,4.839965342,2.1843704615
97,4.8351949985,2.9290172308
98,4.3582179496,3.3810948571
99,4.8384623707,4.9149735385
100,4.8399741108,4.5653858462
101,4.8401677259,3.124434963
102,4.8382692916,5.0461108148
103,4.8398441966,6.190976
104,4.8276098451,5.3816746667
105,4.835315566,6.0664746667
106,4.3533607348,2.7629883077
107,4.8383680207,4.9774276923
108,4.8306689699,6.2267899259
109,4.8457318518,6.96832
110,4.8385816399,5.391992
